NAME	DESCRIPTION
MT-CO1	ENSG00000198804
FN1	ENSG00000115414
COL3A1	ENSG00000168542
COL1A1	ENSG00000108821
EEF1A1	ENSG00000156508
COL1A2	ENSG00000164692
MT-ND4	ENSG00000198886
MT-CO3	ENSG00000198938
MT-ND5	ENSG00000198786
ERBB2	ENSG00000141736
MT-ND1	ENSG00000198888
MT-CYB	ENSG00000198727
AHNAK	ENSG00000124942
MT-CO2	ENSG00000198712
RPL19	ENSG00000108298
ACTB	ENSG00000075624
MT-ND2	ENSG00000198763
COL6A3	ENSG00000163359
FTL	ENSG00000087086
FTH1	ENSG00000167996
MT-ATP6	ENSG00000198899
RPS18	ENSG00000231500
ACTG1	ENSG00000184009
SPARC	ENSG00000113140
EEF2	ENSG00000167658
RPLP0	ENSG00000089157
TPT1	ENSG00000133112
RPL13A	ENSG00000142541
RPL41	ENSG00000229117
PSAP	ENSG00000197746
B2M	ENSG00000166710
MYH9	ENSG00000100345
UBC	ENSG00000150991
FLNA	ENSG00000196924
GAPDH	ENSG00000111640
RPS2	ENSG00000140988
TMSB10	ENSG00000034510
RPL23	ENSG00000125691
SRRM2	ENSG00000167978
RPLP1	ENSG00000137818
RNF213	ENSG00000173821
HSP90AA1	ENSG00000080824
RPL8	ENSG00000161016
RPS6	ENSG00000137154
RPS8	ENSG00000142937
FASN	ENSG00000169710
KRT19	ENSG00000171345
RPL3	ENSG00000100316
TMSB4X	ENSG00000205542
RPS3A	ENSG00000145425
COL12A1	ENSG00000111799
HSPA8	ENSG00000109971
RPL10	ENSG00000147403
RPL27A	ENSG00000166441
EEF1G	ENSG00000254772
COL5A2	ENSG00000204262
RPS11	ENSG00000142534
MGP	ENSG00000111341
PABPC1	ENSG00000070756
RPL18A	ENSG00000105640
PLEC	ENSG00000178209
POSTN	ENSG00000133110
RPL7A	ENSG00000148303
DYNC1H1	ENSG00000197102
RPS14	ENSG00000164587
RPL13	ENSG00000167526
XBP1	ENSG00000100219
LRP1	ENSG00000123384
RPL15	ENSG00000174748
HLA-B	ENSG00000234745
MACF1	ENSG00000127603
CTSD	ENSG00000117984
THBS1	ENSG00000137801
MYL6	ENSG00000092841
DDX17	ENSG00000100201
RPS17	ENSG00000182774
SOD2	ENSG00000112096
DDX5	ENSG00000108654
CD74	ENSG00000019582
COL5A1	ENSG00000130635
RPS19	ENSG00000105372
HSP90AB1	ENSG00000096384
RPL4	ENSG00000174444
S100A9	ENSG00000163220
CTSB	ENSG00000164733
RPS7	ENSG00000171863
IGFBP5	ENSG00000115461
COL6A2	ENSG00000142173
CD24	ENSG00000272398
VCAN	ENSG00000038427
A2M	ENSG00000175899
RPS20	ENSG00000008988
RPL5	ENSG00000122406
SCGB2A2	ENSG00000110484
ALDOA	ENSG00000149925
KRT8	ENSG00000170421
PTPRF	ENSG00000142949
RPL32	ENSG00000144713
MT-ND6	ENSG00000198695
TRPS1	ENSG00000104447
RPS10	ENSG00000124614
RACK1	ENSG00000204628
P4HB	ENSG00000185624
RPSA	ENSG00000168028
RPS21	ENSG00000171858
RPL31	ENSG00000071082
SCD	ENSG00000099194
RPS24	ENSG00000138326
PPIA	ENSG00000196262
RPS27	ENSG00000177954
CALR	ENSG00000179218
CANX	ENSG00000127022
DSP	ENSG00000096696
HLA-A	ENSG00000206503
RPS3	ENSG00000149273
RPL7	ENSG00000147604
APP	ENSG00000142192
AZGP1	ENSG00000160862
RPL37A	ENSG00000197756
CLTC	ENSG00000141367
RPL23A	ENSG00000198242
CDK12	ENSG00000167258
VIM	ENSG00000026025
RPL17	ENSG00000265681
AEBP1	ENSG00000106624
PKM	ENSG00000067225
RPS15A	ENSG00000134419
HDLBP	ENSG00000115677
RPS16	ENSG00000105193
RPL12	ENSG00000197958
HSPG2	ENSG00000142798
ANXA2	ENSG00000182718
DCN	ENSG00000011465
RPS12	ENSG00000112306
FLNB	ENSG00000136068
