gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,20180323_expression_mean_tpm,20180228_expression_mean_tpm
ENSG00000006638,504.00703006601964,0.6032838594555592,0.17468019865197237,3.453647660760473,5.530594360737985e-4,0.03344733297240157,TBXA2R,7.6758282,4.296961083333334
ENSG00000007541,888.4548871144136,-1.2177584242597974,0.37655167487818236,-3.2339742603820643,0.0012208045756709007,0.04886906428381571,PIGQ,5.743759000000001,10.364463500000001
ENSG00000008710,3823.475986238168,-1.0218979592759607,0.31125684903854,-3.2831340496845702,0.00102659836658679,0.04541121864426576,PKD1,15.213500800000004,20.52731575
ENSG00000008952,1089.2986977566677,0.9393956959923513,0.2688151928839264,3.4945781371738893,4.7481160208606677e-4,0.0309789943203374,SEC62,19.7322528,13.459812583333333
ENSG00000009413,1377.82117846359,0.9310661153705997,0.24132650156338,3.8581179826454832,1.1426349059154708e-4,0.01446095300546057,REV3L,35.9864714,19.144446166666665
ENSG00000013306,854.5384457189515,-0.7028405723268719,0.21552914770684384,-3.2610001004729727,0.0011102000094876659,0.046926841261247465,SLC25A39,5.6217544,9.513644666666666
ENSG00000014257,50.95892328561103,1.6602803617139077,0.449907280639613,3.6902722697742556,2.240141560810589e-4,0.021086899701571928,ACPP,0.9699162,0.445255
ENSG00000020181,1266.4683959884032,-1.229071187763176,0.3781563245323612,-3.2501669495626713,0.0011533727711801527,0.048361689210764586,ADGRA2,2.7883808,4.451011416666667
ENSG00000026036,825.3711540775939,-0.9523740298017782,0.26989849316205566,-3.5286378172920827,4.177043830372164e-4,0.0293213558878446,RTEL1-TNFRSF6B,1.6919792,2.1077543333333333
ENSG00000029363,1675.3346659563153,0.8270962598421041,0.24732810694202964,3.3441256235222965,8.25423516565287e-4,0.04185084213461077,BCLAF1,38.431764199999996,22.89755275
ENSG00000033800,751.1664310028609,0.4587364027001213,0.13923438297144025,3.2947063283515052,9.85245854710987e-4,0.04490436469413206,PIAS1,13.6756064,9.28592525
ENSG00000049249,466.0198626356819,0.775195112589641,0.21985777547707774,3.5258935505351845,4.2205657594107947e-4,0.029495189333766814,TNFRSF9,2.811351,1.6979970833333333
ENSG00000050165,533.6734465442578,-1.2106748223266983,0.34952597288665144,-3.4637621128067377,5.326773536018717e-4,0.03258722801659688,DKK3,3.895451,6.433937916666666
ENSG00000054983,682.9522874750032,0.6913794348471877,0.16821025315582774,4.110209822980903,3.9529975470076426e-5,0.007312580403429197,GALC,29.984191799999998,18.157113666666667
ENSG00000055208,1018.8435062464822,0.41026581915006505,0.12485567584382327,3.2859204547757153,0.0010164971110701482,0.04539126078249834,TAB2,12.6171248,8.42194175
ENSG00000058272,1359.4590447107237,0.6264237224074133,0.13263731390862232,4.72283178803647,2.3258321401444695e-6,0.0010756289579891658,PPP1R12A,30.6102958,19.2569795
ENSG00000060339,1422.8198762655588,0.8541404447258965,0.17324564282507884,4.930227570504025,8.213388183243003e-7,5.381138158054707e-4,CCAR1,25.182963799999996,13.037547666666667
ENSG00000062194,938.8042893260629,0.5815176763693618,0.17091198150987816,3.40243949682224,6.678714115879742e-4,0.03800524290626564,GPBP1,18.0041454,11.471866083333333
ENSG00000064012,1074.0086564931798,0.631334234971472,0.14885500936556548,4.241269660069083,2.222589096788406e-5,0.004787396021630259,CASP8,22.137925799999998,13.99188625
ENSG00000065057,190.02831154522138,-1.1700889372751648,0.325894040247807,-3.590396855325858,3.3017486925448786e-4,0.02582920220973914,NTHL1,1.980302,4.136813166666666
ENSG00000065534,2599.097321057453,-0.8624390318615993,0.2666507114279413,-3.2343398869748063,0.0012192426252882731,0.04886906428381571,MYLK,17.3719842,19.712120249999998
ENSG00000066427,1254.767337185183,0.7316630662450008,0.22589730724709586,3.2389189369339286,0.0011998366936516937,0.04879094130650801,ATXN3,36.324066599999995,18.79419366666667
ENSG00000067900,1880.3617795766886,0.5426567760085653,0.13970676215279726,3.8842556197463205,1.0264387476900864e-4,0.01386067312378123,ROCK1,15.3313442,10.7351875
ENSG00000068724,985.1974310337298,-0.725473920572756,0.21943663398561897,-3.3060747761027938,9.46128349281491e-4,0.043733859678152034,TTC7A,5.0447638,6.740427833333333
ENSG00000068796,391.15894971483164,0.7947928597653698,0.23748681543260183,3.3466820392432695,8.178496063696619e-4,0.04175281561869014,KIF2A,8.6645512,5.337883916666667
ENSG00000069011,287.66190235745694,-2.283198319300776,0.6716957900942346,-3.3991553214595225,6.759431813112137e-4,0.03809509169511657,PITX1,0.6834134,2.6946329166666665
ENSG00000069275,2635.120842850254,1.0560003330722547,0.3140858915059405,3.362138706737427,7.734126281546015e-4,0.04060711757854784,NUCKS1,23.719284799999997,13.924048833333334
ENSG00000070476,1029.9038168513532,-0.697013286842714,0.20543637000033435,-3.3928426930517688,6.917134891663181e-4,0.03875822297300436,ZXDC,4.5923964,5.911595166666666
ENSG00000070950,284.41000501255564,1.6155981266014228,0.44973963874124506,3.592296492084273,3.277766105408938e-4,0.02582920220973914,RAD18,7.5438522,2.25834325
ENSG00000071889,514.2785962564056,-0.631119489330843,0.16304676420591502,-3.870788190152548,1.0848402239575744e-4,0.014334477043284789,FAM3A,3.7503936,5.80923
ENSG00000073536,234.15998405821944,-0.8602574876498973,0.26521498755967227,-3.2436232038219295,0.0011801975723618144,0.0486599439357275,NLE1,0.9641234,1.5380326666666666
ENSG00000074964,939.6181947061683,-0.7342713692083007,0.20598732979998577,-3.564643368702726,3.6435125380628947e-4,0.027411766099761224,ARHGEF10L,4.610407400000001,5.660254083333333
ENSG00000075292,2131.0744681696083,0.6656211715750473,0.15973841866459315,4.166944790987753,3.087092251474269e-5,0.0061444858939470135,ZNF638,49.2180988,27.03957975
ENSG00000080189,882.4859975104678,-0.7443263246581143,0.22053939503151013,-3.375026600357577,7.380855632695688e-4,0.039475025159356116,SLC35C2,5.5906687999999995,7.4197378333333335
ENSG00000082074,1498.0257731984846,1.0854756664715772,0.30835907990381417,3.520167678571902,4.3127405893152117e-4,0.029873803095327046,FYB1,26.2189694,14.343492249999999
ENSG00000082126,214.64352883021326,0.9336219654435369,0.25592646416078063,3.6480086907190956,2.642807008635934e-4,0.023215361678095767,MPP4,3.7350917999999997,1.6628111666666667
