ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0045880,positive regulation of smoothened signaling pathway,5/237,38/17105,1.6919300529149304e-4,0.1262189626394471,0.12454879682754574,ENSG00000072840/ENSG00000138002/ENSG00000143816/ENSG00000163482/ENSG00000187240,5
GO:0007411,axon guidance,13/237,284/17105,1.7303098644748212e-4,0.1262189626394471,0.12454879682754574,ENSG00000072832/ENSG00000101680/ENSG00000106070/ENSG00000106571/ENSG00000130702/ENSG00000132821/ENSG00000133026/ENSG00000163531/ENSG00000164050/ENSG00000165731/ENSG00000179242/ENSG00000184349/ENSG00000196923,13
GO:0097485,neuron projection guidance,13/237,285/17105,1.7910986110462445e-4,0.1262189626394471,0.12454879682754574,ENSG00000072832/ENSG00000101680/ENSG00000106070/ENSG00000106571/ENSG00000130702/ENSG00000132821/ENSG00000133026/ENSG00000163531/ENSG00000164050/ENSG00000165731/ENSG00000179242/ENSG00000184349/ENSG00000196923,13
GO:0008589,regulation of smoothened signaling pathway,7/237,86/17105,1.903037506814129e-4,0.1262189626394471,0.12454879682754574,ENSG00000072840/ENSG00000106571/ENSG00000138002/ENSG00000143816/ENSG00000163482/ENSG00000187240/ENSG00000187535,7
GO:0044782,cilium organization,15/237,395/17105,4.2235657093676144e-4,0.22410239653904562,0.2211370088252054,ENSG00000039139/ENSG00000129654/ENSG00000130702/ENSG00000131697/ENSG00000132122/ENSG00000135338/ENSG00000138002/ENSG00000152669/ENSG00000157423/ENSG00000163482/ENSG00000169126/ENSG00000181085/ENSG00000187240/ENSG00000187535/ENSG00000197748,15
GO:0030879,mammary gland development,8/237,139/17105,7.160973501264873e-4,0.27059977720867934,0.26701912270834827,ENSG00000070018/ENSG00000106571/ENSG00000115461/ENSG00000117139/ENSG00000157168/ENSG00000158125/ENSG00000171209/ENSG00000180914,8
GO:0060271,cilium assembly,14/237,375/17105,7.723600488809912e-4,0.27059977720867934,0.26701912270834827,ENSG00000039139/ENSG00000129654/ENSG00000130702/ENSG00000131697/ENSG00000132122/ENSG00000138002/ENSG00000152669/ENSG00000157423/ENSG00000163482/ENSG00000169126/ENSG00000181085/ENSG00000187240/ENSG00000187535/ENSG00000197748,14
GO:0001654,eye development,14/237,382/17105,9.231608292625768e-4,0.27059977720867934,0.26701912270834827,ENSG00000070018/ENSG00000101680/ENSG00000106571/ENSG00000117139/ENSG00000131697/ENSG00000133026/ENSG00000138002/ENSG00000140873/ENSG00000143816/ENSG00000151090/ENSG00000158055/ENSG00000165731/ENSG00000185630/ENSG00000187535,14
GO:0021591,ventricular system development,4/237,32/17105,9.52602411174528e-4,0.27059977720867934,0.26701912270834827,ENSG00000039139/ENSG00000133026/ENSG00000157423/ENSG00000169126,4
GO:0150063,visual system development,14/237,386/17105,0.0010199765443221988,0.27059977720867934,0.26701912270834827,ENSG00000070018/ENSG00000101680/ENSG00000106571/ENSG00000117139/ENSG00000131697/ENSG00000133026/ENSG00000138002/ENSG00000140873/ENSG00000143816/ENSG00000151090/ENSG00000158055/ENSG00000165731/ENSG00000185630/ENSG00000187535,14
GO:0048880,sensory system development,14/237,392/17105,0.0011811485018347386,0.2848715432152329,0.28110204058019095,ENSG00000070018/ENSG00000101680/ENSG00000106571/ENSG00000117139/ENSG00000131697/ENSG00000133026/ENSG00000138002/ENSG00000140873/ENSG00000143816/ENSG00000151090/ENSG00000158055/ENSG00000165731/ENSG00000185630/ENSG00000187535,14
GO:0007368,determination of left/right symmetry,7/237,124/17105,0.0017121108924103737,0.37851918313039346,0.37351050784426304,ENSG00000039139/ENSG00000129654/ENSG00000138002/ENSG00000158286/ENSG00000169126/ENSG00000187240/ENSG00000187535,7
GO:0043010,camera-type eye development,12/237,331/17105,0.0023121510011156797,0.45186156869874566,0.44588240575863686,ENSG00000070018/ENSG00000101680/ENSG00000106571/ENSG00000117139/ENSG00000131697/ENSG00000133026/ENSG00000138002/ENSG00000143816/ENSG00000151090/ENSG00000158055/ENSG00000165731/ENSG00000187535,12
