ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0099637,neurotransmitter receptor transport,4/82,42/15305,7.336809126958441e-5,0.038977922687190254,0.03715472787551387,ENSG00000106976/ENSG00000155974/ENSG00000168993/ENSG00000180900,4
GO:0098877,neurotransmitter receptor transport to plasma membrane,3/82,17/15305,9.548313556809803e-5,0.038977922687190254,0.03715472787551387,ENSG00000155974/ENSG00000168993/ENSG00000180900,3
GO:0098969,neurotransmitter receptor transport to postsynaptic membrane,3/82,17/15305,9.548313556809803e-5,0.038977922687190254,0.03715472787551387,ENSG00000155974/ENSG00000168993/ENSG00000180900,3
GO:1903540,establishment of protein localization to postsynaptic membrane,3/82,18/15305,1.1413740171944438e-4,0.038977922687190254,0.03715472787551387,ENSG00000155974/ENSG00000168993/ENSG00000180900,3
GO:0099072,regulation of postsynaptic membrane neurotransmitter receptor levels,4/82,61/15305,3.1665191629070633e-4,0.08650930353062096,0.08246282535823238,ENSG00000106976/ENSG00000155974/ENSG00000168993/ENSG00000180900,4
GO:1903539,protein localization to postsynaptic membrane,3/82,39/15305,0.0011788019201221214,0.19465464165947402,0.1855496584208749,ENSG00000155974/ENSG00000168993/ENSG00000180900,3
GO:0098887,"neurotransmitter receptor transport, endosome to postsynaptic membrane",2/82,10/15305,0.0012409658202522924,0.19465464165947402,0.1855496584208749,ENSG00000155974/ENSG00000180900,2
GO:0099639,"neurotransmitter receptor transport, endosome to plasma membrane",2/82,10/15305,0.0012409658202522924,0.19465464165947402,0.1855496584208749,ENSG00000155974/ENSG00000180900,2
GO:0048732,gland development,8/82,401/15305,0.0013599510830583194,0.19465464165947402,0.1855496584208749,ENSG00000070018/ENSG00000101680/ENSG00000130702/ENSG00000171209/ENSG00000180900/ENSG00000180914/ENSG00000184486/ENSG00000185630,8
GO:0050808,synapse organization,8/82,408/15305,0.0015174261620125834,0.19465464165947402,0.1855496584208749,ENSG00000004777/ENSG00000110841/ENSG00000115183/ENSG00000147799/ENSG00000158528/ENSG00000164050/ENSG00000170835/ENSG00000180914,8
GO:0062237,protein localization to postsynapse,3/82,43/15305,0.0015674971143881508,0.19465464165947402,0.1855496584208749,ENSG00000155974/ENSG00000168993/ENSG00000180900,3
GO:0099173,postsynapse organization,5/82,162/15305,0.001768481456847247,0.2013121391711116,0.19189575106316178,ENSG00000004777/ENSG00000115183/ENSG00000147799/ENSG00000158528/ENSG00000170835,5
GO:0031115,negative regulation of microtubule polymerization,2/82,13/15305,0.0021286742886840572,0.20769779131017302,0.19798271391745706,ENSG00000105270/ENSG00000185133,2
GO:0099638,endosome to plasma membrane protein transport,2/82,13/15305,0.0021286742886840572,0.20769779131017302,0.19798271391745706,ENSG00000155974/ENSG00000180900,2
GO:0097120,receptor localization to synapse,3/82,52/15305,0.0027116104753485666,0.24693732728840945,0.23538681810569664,ENSG00000155974/ENSG00000168993/ENSG00000180900,3
GO:0022612,gland morphogenesis,4/82,115/15305,0.0033719633536747596,0.25220877614568854,0.24041169460754933,ENSG00000070018/ENSG00000101680/ENSG00000130702/ENSG00000180900,4
