gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,Positive_expression_mean_tpm,Negative_expression_mean_tpm
ENSG00000007202,4649.251973611656,1.2449170615813627,0.3053604461837272,4.076877267962628,4.564456968309132e-5,0.015855433072977498,KIAA0100,40.188292555555556,20.055414545454546
ENSG00000031691,46.7138192540162,1.2049334266356755,0.3310113575938993,3.6401573510778014,2.724714806542148e-4,0.03818308389609005,CENPQ,2.015824,0.8872884545454546
ENSG00000054598,98.6069019941754,-1.7861748523283882,0.444095767554904,-4.022048807541409,5.7694098632860865e-5,0.018341910185575083,FOXC1,0.3002134444444444,1.293990090909091
ENSG00000057935,716.9429625232344,0.5615717878240345,0.15822433323858856,3.5492125410143647,3.8638507479680254e-4,0.04473918610963521,MTA3,16.34216622222222,11.345157181818182
ENSG00000064199,129.9052649936594,1.1612262922247991,0.27709019296661164,4.190788132168657,2.7798714936187878e-5,0.012132357100739843,SPA17,1.3150285555555556,0.690613909090909
ENSG00000066056,700.5843673283275,-1.0008781161452638,0.2117780477773206,-4.726071123281212,2.289055021126904e-6,0.0029992259676678385,TIE1,3.3820966666666665,6.634112727272727
ENSG00000068781,42.55004815326667,-3.4774777990838692,1.0017165014883116,-3.4715189316709543,5.175228390325658e-4,0.04921092873281175,STON1-GTF2A1L,0.12959522222222222,0.5926270909090909
ENSG00000069206,9.509662688374387,22.62161620058344,3.740727741848829,6.047383761054703,1.47216807476503e-9,3.579681828653653e-6,ADAM7,0.18411600000000003,0
ENSG00000075651,640.4611731743414,-1.0284975455023635,0.23955480103427626,-4.293370623597741,1.759808780751467e-5,0.009417539012231663,PLD1,5.426125333333333,13.832538818181819
ENSG00000081377,625.2703453542223,-0.8238933224364121,0.22802470200323036,-3.6131757445504316,3.0246954298516896e-4,0.04127003071423703,CDC14B,2.991699777777778,6.125018090909091
ENSG00000084628,129.722875847353,5.1073507518136685,1.242497391568364,4.1105524940916185,3.947135297510479e-5,0.014933407369474178,NKAIN1,3.335610222222222,0.100127
ENSG00000086598,2226.3226933939463,0.6206636102064563,0.16976212268002552,3.656078284178315,2.5610317463539033e-4,0.03757872530576706,TMED2,46.12365177777778,30.36189390909091
ENSG00000087095,532.1665939077574,1.479304118982516,0.32087840105775417,4.610170438727222,4.023389793838614e-6,0.0045654745120618035,NLK,9.057978222222223,3.947498181818182
ENSG00000090975,359.8097235141956,-1.2123007459056976,0.34983963786407496,-3.4653041413698213,5.296321464759239e-4,0.0495322459624544,PITPNM2,1.4507754444444443,3.893403363636364
ENSG00000091138,21.71695827841027,4.645587433516033,1.098522414867284,4.22894186831616,2.347929986352318e-5,0.011161138038809398,SLC26A3,0.5075373333333333,0.014835363636363636
ENSG00000091831,2754.0884269069597,3.013503840925672,0.692991734168725,4.3485422586468605,1.3704541399731114e-5,0.008971730737108588,ESR1,48.87848177777778,3.7433455454545452
ENSG00000092529,250.30189296572402,-0.7245438496970398,0.20604804446635147,-3.516383043447718,4.3746934964324915e-4,0.04742780764508117,CAPN3,1.8236465555555557,3.9405194545454547
ENSG00000095370,451.72092013804877,-0.9469630337462704,0.24279527162013234,-3.9002531945014582,9.609214074151027e-5,0.025045994166164775,SH2D3C,2.0155075555555557,4.3971457272727275
ENSG00000096384,7582.9080862006285,0.6834942104930828,0.18981164703401207,3.600907642778151,3.171082164959177e-4,0.04216796057013293,HSP90AB1,78.88027311111111,40.85362463636364
ENSG00000100146,237.06351743144145,-2.5517213608406677,0.6674125284569753,-3.8233045560893517,1.316749714158606e-4,0.027125265118143154,SOX10,0.40122355555555556,3.5459109090909093
ENSG00000100219,9917.0178921895,1.814225944235545,0.4340848215057364,4.179427278619025,2.9224415097692767e-5,0.01213240900921533,XBP1,248.50817155555558,61.024106727272724
ENSG00000100242,2150.81266817122,-0.5819148228397392,0.15256105096663145,-3.8143079059347667,1.365651143022249e-4,0.027125265118143154,SUN2,17.538006333333335,26.04395990909091
ENSG00000100767,1061.456559246842,-0.6161510763862754,0.1637355120542433,-3.7630876079109408,1.67828375652598e-4,0.029756320645654904,PAPLN,3.4649724444444443,7.195349909090909
ENSG00000103226,868.2834887320805,0.7707947920659424,0.17412080936592766,4.426781582700207,9.56494964909417e-6,0.008458961543727366,NOMO3,18.569204222222222,12.676387272727274
ENSG00000103512,1338.1418388974178,0.7620928959163479,0.2151328866018511,3.542428626111274,3.9646069502523995e-4,0.04528964758405778,NOMO1,9.848769,5.6836449090909085
ENSG00000104044,13.162228986355817,-6.107935725044321,1.3961968242158993,-4.374695328844142,1.2160219585787117e-5,0.008624129065403439,OCA2,0.004898111111111111,0.2848304545454545
ENSG00000105997,126.49451719911491,-1.0089707223489892,0.27417373584507543,-3.6800414862462176,2.3319601197713537e-4,0.03641494788864973,HOXA3,1.1799543333333333,2.4276662727272726
ENSG00000106852,104.87900268522847,-1.9153246657271061,0.5403507140292134,-3.5445954192327696,3.93216148126056e-4,0.04522251390036216,LHX6,0.4383421111111111,1.7847834545454546
ENSG00000107807,27.528517620817347,-23.429442694931247,1.3772059612613718,-17.01230124902481,6.657075387244857e-65,1.1331008016629472e-60,TLX1,0.006154,0.6478600909090908
ENSG00000108375,583.7284609804308,2.281803168917828,0.6372300620360233,3.5808153206507627,3.425237020205195e-4,0.04272150457925409,RNF43,6.349467111111111,1.2413266363636364
ENSG00000109084,230.9776759835602,1.676896869137741,0.4255595783236809,3.9404514774246064,8.132840057946801e-5,0.022693290266608608,TMEM97,5.952214333333333,1.387758
ENSG00000109118,2352.2589943535,0.9986896962190458,0.23226501538499494,4.29978528864388,1.7096366471901694e-5,0.009417539012231663,PHF12,19.18578,12.239681272727273
ENSG00000111057,2899.979832534217,2.062762923882025,0.5331613984079078,3.868927739408207,1.0931503061131163e-4,0.02565232642052272,KRT18,68.45136988888888,7.139928727272728
ENSG00000111319,875.905207257265,1.2047815491870173,0.3239904694733459,3.7185709540944765,2.0035301773881816e-4,0.03343341877384729,SCNN1A,26.585853444444446,9.123783363636363
ENSG00000111481,854.6450898780165,0.7658274660153452,0.1958022524451361,3.911229091861088,9.182761806141935e-5,0.024421841984740917,COPZ1,17.60827822222222,9.941945636363638
ENSG00000112379,2133.456664306745,1.938000491887631,0.5095624069526985,3.8032642625214916,1.4280188075534137e-4,0.027620804685643922,ARFGEF3,6.212737222222223,1.6307726363636363
ENSG00000112541,312.45548318610344,-1.2835738344594345,0.3156457516133172,-4.066501221381495,4.7724235245465285e-5,0.0160056358085345,PDE10A,1.1259457777777777,3.4155264545454544
ENSG00000114491,421.36945478591167,0.8884378945451734,0.2288797157943848,3.881680346646821,1.03737177587807e-4,0.025045994166164775,UMPS,5.6705309999999995,3.189228
ENSG00000115155,26.48605657039395,-2.6232402818857876,0.7193329489474141,-3.6467678642057537,2.655596283084167e-4,0.03766742027864634,OTOF,0.08073822222222223,0.13691018181818182
ENSG00000115596,26.245253943570454,-3.062425132557093,0.8614773363720695,-3.554852813022165,3.7819073581146946e-4,0.04439437596032429,WNT6,0.07824644444444444,0.6863130000000001
ENSG00000115806,732.8231018937452,0.6660158618333532,0.19164655059164737,3.475230103423424,5.104153240737078e-4,0.04919472330969591,GORASP2,13.86281088888889,8.877219545454546
ENSG00000115963,324.1330639486897,-1.2943483479117814,0.33213800802077076,-3.897019662473671,9.738371542450725e-5,0.025045994166164775,RND3,3.5349875555555554,9.352779545454545
ENSG00000116161,560.8055287434408,1.1113618060677115,0.2920175978150069,3.8058042199626576,1.4134415943438237e-4,0.027620804685643922,CACYBP,20.368487,8.313930545454545
ENSG00000117707,105.24922392198089,-2.560619021371313,0.5046150976497255,-5.074400336608134,3.8871990081988693e-7,8.270501789819119e-4,PROX1,0.1816261111111111,1.2351121818181818
ENSG00000120149,65.77284119271333,2.3790672984547454,0.629000248248654,3.7822994586708996,1.5538626804244084e-4,0.028886161287807004,MSX2,1.9098434444444445,0.35748936363636363
ENSG00000120265,442.6998012696148,0.9362806387892111,0.24946560139559543,3.7531452575078035,1.74629594706222e-4,0.030330309505046983,PCMT1,17.56361888888889,8.808102181818182
ENSG00000120875,1255.3279751016273,2.3394130323126148,0.5294602454883528,4.418486661174787,9.939441329801266e-6,0.008458961543727366,DUSP4,10.470674555555556,2.409953727272727
ENSG00000122863,381.8830188678843,-1.2417258434283962,0.3245240740983901,-3.826298085521773,1.3008475590757762e-4,0.027125265118143154,CHST3,0.6599571111111111,1.3848471818181818
ENSG00000123388,87.80891154878454,2.4052081398037406,0.60599565128966,3.9690188117440375,7.216918493777121e-5,0.02082019825128481,HOXC11,1.4076146666666667,0.259724
ENSG00000123562,1754.101296497156,0.8833660994702672,0.18267593164872134,4.83570052988122,1.3267754290569222e-6,0.002053004052543443,MORF4L2,54.43667055555556,26.132066
ENSG00000123838,29.63719140293464,-3.4257812357722868,0.9511343085943499,-3.6017849475276904,3.1603975913936503e-4,0.04216796057013293,C4BPA,0.051138666666666666,1.0583196363636362
ENSG00000124151,1393.5998191115202,0.30518539716928195,0.08392064488769808,3.636594994922626,2.762657883786473e-4,0.03823024377230045,NCOA3,9.472990222222222,8.52508590909091
ENSG00000124171,789.1512093996215,2.207212755977668,0.5533568716625842,3.9887690367809183,6.641704802535152e-5,0.019990322279837245,PARD6B,17.542837666666667,2.051688
ENSG00000124493,94.72739235178844,2.666611827086106,0.6501634866869377,4.101448146026255,4.105725206145832e-5,0.015192075811697436,GRM4,0.8183275555555556,0.08543436363636364
ENSG00000127083,60.13115603053411,1.5668002669240377,0.4414018696130049,3.5496004316830727,3.8581626601666554e-4,0.04473918610963521,OMD,1.6022408888888888,1.2965950909090909
ENSG00000127954,987.3868804037256,-0.7480342074814483,0.20099899526171283,-3.7215818243641596,1.9797869135792354e-4,0.03336430995646749,STEAP4,5.938631666666667,11.41416390909091
ENSG00000129467,563.7703989265876,-1.4063910414591212,0.3834292870191658,-3.6679280615015264,2.445239560419401e-4,0.0367299572874296,ADCY4,3.047951,8.603279818181818
ENSG00000130724,642.2325032139714,0.6668761244497207,0.18679478706138825,3.5701002953072694,3.5684457358749525e-4,0.04319534503354566,CHMP2A,16.797992999999998,10.749314363636364
ENSG00000131171,738.2394240184021,1.023159217998565,0.28458560987267606,3.5952598532874784,3.240679466498976e-4,0.04227176641982542,SH3BGRL,35.846375555555554,22.086131363636365
ENSG00000131480,39.71514243395007,-1.1902252118486774,0.34124373266033486,-3.4879035068854924,4.86823735685313e-4,0.04919472330969591,AOC2,0.19288488888888888,0.40700336363636364
ENSG00000131747,1301.567267346448,1.9836810686471296,0.5172144794944306,3.835316193363628,1.254028600125967e-4,0.027125265118143154,TOP2A,18.631795444444446,2.2774145454545454
ENSG00000132581,676.4364439833572,1.5443675800369343,0.39442331992392105,3.9155077857334146,9.02141331685719e-5,0.024373567629559723,SDF2,18.63518488888889,8.837999454545455
ENSG00000132746,852.8189921775363,3.439750765205953,0.7697006705507509,4.4689460420304385,7.860595474403013e-6,0.007870305621753747,ALDH3B2,15.382679444444445,1.0335394545454546
ENSG00000132932,450.54200862222694,4.718262059304835,0.958326291686982,4.923440064447235,8.503592965335641e-7,0.0014473965586297795,ATP8A2,2.143411,0.0833049090909091
ENSG00000133067,133.45549790832658,-2.880333027337833,0.7662141325927734,-3.7591750201619805,1.7047455518605587e-4,0.02991389076105007,LGR6,0.25787611111111114,2.199120909090909
ENSG00000133318,1088.8562204667035,0.7939031563907482,0.22638607211504072,3.5068551213138104,4.5343595151279973e-4,0.048115468144028443,RTN3,22.56698666666667,11.927526272727274
ENSG00000133703,482.7831605900464,0.6236889231061307,0.17801452900486023,3.5035843792789656,4.5904119832252186e-4,0.048115468144028443,KRAS,6.144672333333333,4.900995363636364
ENSG00000134215,811.8291883367307,1.4294741886717874,0.4083101855812567,3.500951578361524,4.636000690688364e-4,0.048115468144028443,VAV3,17.75445388888889,6.694504272727272
ENSG00000134440,1040.0327648427124,0.7258683519079897,0.18993678543768963,3.8216312350201216,1.3257183224888401e-4,0.027125265118143154,NARS,26.92002177777778,16.944943090909092
ENSG00000135222,1054.1510585425754,-12.958872596721275,3.7289744551759743,-3.4751840626673673,5.105029396503551e-4,0.04919472330969591,CSN2,0.010561111111111111,63.82262036363636
ENSG00000136770,776.8789162112954,1.3622626950735377,0.3887737182320418,3.503998936112403,4.583271889455755e-4,0.048115468144028443,DNAJC1,12.745933333333333,6.420056727272727
ENSG00000137070,301.87944511192376,-1.099353962900675,0.29694244821285987,-3.7022459049459155,2.1369934214303404e-4,0.03464168097730079,IL11RA,2.194062777777778,5.834511727272727
ENSG00000137502,556.1111903375795,1.1508584866207128,0.3276077896649383,3.5129155133879943,4.4321838674928586e-4,0.04774696304341516,RAB30,10.213893555555556,5.6796289090909085
ENSG00000138363,613.4499999726652,0.7733816290902995,0.20355210213158362,3.7994283576121313,1.4503022909390862e-4,0.02773662392592605,ATIC,19.447793222222224,10.293847727272727
ENSG00000138615,3339.120223491152,2.073988465602043,0.5462736319849683,3.7966109732697344,1.4668771276792728e-4,0.02774190621136545,CILP,10.626642555555556,8.910363181818182
ENSG00000140545,2516.268902667373,-1.5833350458515423,0.3674928144575849,-4.308478924107744,1.643811370461806e-5,0.009417539012231663,MFGE8,17.72311911111111,60.58545836363636
ENSG00000141198,379.72704078482707,1.3440527627838403,0.37502291547855454,3.583921694674946,3.384735972132054e-4,0.04272150457925409,TOM1L1,17.31572977777778,5.226545636363636
ENSG00000141540,245.1358186579262,-1.1761713937730334,0.3025132604498211,-3.8879994616570834,1.0107385083502478e-4,0.025045994166164775,TTYH2,1.0118188888888888,2.472995181818182
ENSG00000141582,612.0519684565006,1.1995053115683558,0.308778795485903,3.8846751431903885,1.0246680429884964e-4,0.025045994166164775,CBX4,9.971997666666667,3.304025272727273
ENSG00000141639,19.082370762264798,-3.498811887272789,1.0087281429838335,-3.4685379917360577,5.232985301136193e-4,0.04926190913190346,MAPK4,0.015407666666666667,0.2560152727272727
ENSG00000143344,676.7452549570904,-0.6613315060456266,0.18305985880075695,-3.6126516778614057,3.0308171313551664e-4,0.04127003071423703,RGL1,1.9886708888888889,3.962036818181818
ENSG00000143412,223.22645449249433,1.5785301095337654,0.45424628702989106,3.4750534117847227,5.107516446771886e-4,0.04919472330969591,ANXA9,4.628477888888889,0.8116208181818182
ENSG00000143420,2850.714835457169,0.6262385977047115,0.179324889387622,3.4922012211648847,4.79057208619406e-4,0.04912067920428259,ENSA,44.45535377777778,27.942389
ENSG00000143457,542.589592959985,0.9751851664243698,0.2667260100340014,3.6561307474290046,2.560507945352887e-4,0.03757872530576706,GOLPH3L,12.996193555555555,8.072759727272727
ENSG00000143845,285.7999727343189,1.415731638372579,0.375340575336186,3.7718587634830927,1.620359700610422e-4,0.02934057708945744,ETNK2,5.390314444444445,1.5597564545454545
ENSG00000144668,631.3336140653261,-1.4473997804656245,0.3770412665364892,-3.838836511879658,1.236187048275416e-4,0.027125265118143154,ITGA9,1.4512794444444443,3.966496909090909
ENSG00000145050,430.63298327169497,0.8397659495028265,0.24212914717070655,3.468256338881714,5.23847338750633e-4,0.04926190913190346,MANF,11.629295555555556,7.0206527272727275
ENSG00000146476,360.90222055488647,1.8360626916401006,0.4362997666973277,4.20825962282447,2.5734509132901655e-5,0.011527028419766291,ARMT1,12.871568,3.7107010000000002
ENSG00000147677,2312.6698943354922,1.416653138150908,0.38544055988504466,3.6754127240096794,2.374652112052133e-4,0.03661877568298406,EIF3H,93.75202888888889,33.83089936363636
ENSG00000147996,1140.170679374322,0.7329697104251787,0.19663746350427283,3.727518130893972,1.9337465355092023e-4,0.032914299780902136,CBWD5,53.34174055555555,30.565575727272726
