gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,High_expression_mean_tpm,Low_expression_mean_tpm
ENSG00000065328,134.96976579617007,2.1805892748858535,0.6022636040022248,3.620655906143381,2.9385711353167155e-4,0.04238764346968289,MCM10,2.5766955,0.3314688571428571
ENSG00000066279,272.6637202412647,2.304622261549078,0.57791616898776,3.987814124643204,6.668487709043328e-5,0.017197625650852498,ASPM,3.255278333333333,0.672222
ENSG00000067533,497.0063746755417,1.7454243270944183,0.31388266460473785,5.5607541413361385,2.686113827037787e-8,3.5169494961546285e-5,RRP15,6.369550666666667,3.2635061428571426
ENSG00000071539,147.82910382547647,1.5888079985827666,0.31390568484950593,5.061418366298399,4.161489167535236e-7,3.7280372168745925e-4,TRIP13,3.893373,1.4425520714285713
ENSG00000073111,382.29892117720277,1.9472357899762716,0.5139725368895155,3.788598904059446,1.5149927908958598e-4,0.028364909840568477,MCM2,4.742831833333334,1.0065682142857142
ENSG00000077152,106.06169382261946,2.7493153279800744,0.7680731504108244,3.579496726984311,3.442565598488448e-4,0.0472547653644128,UBE2T,7.100557166666667,1.475283857142857
ENSG00000080824,9587.291666388579,1.5306525853448771,0.4001292694462769,3.825395196565067,1.3056247013516875e-4,0.02710126590452082,HSP90AA1,132.49574233333334,54.93287557142857
ENSG00000085733,3790.8025178359285,1.4626991039048005,0.38282884518496724,3.8207651338239264,1.3303829973744985e-4,0.027282468672664265,CTTN,64.730039,35.83135685714286
ENSG00000087586,167.36349313085003,2.1950723059865034,0.4210016189186035,5.213928420571938,1.84882832617886e-7,1.9668066837431485e-4,AURKA,6.609353333333333,1.282301642857143
ENSG00000088325,468.36431573489654,2.862694216877523,0.6188808408906307,4.625598382974375,3.7351845212348614e-6,0.002354687990219947,TPX2,6.994521833333334,0.9690855
ENSG00000090889,229.5152592196119,2.9264058493114367,0.6813116793169302,4.295252728157243,1.744944353896089e-5,0.006750158601742121,KIF4A,2.8254128333333335,0.3801265714285714
ENSG00000091129,76.697620749712,2.953463433877775,0.7092112733437046,4.164433850512752,3.121261019935391e-5,0.010738525512783837,NRCAM,0.9227933333333334,0.4861046428571429
ENSG00000093009,85.04513889684452,3.253942398937477,0.6882032270439922,4.728170794714211,2.265515806972265e-6,0.001676580197846736,CDC45,3.657435333333334,0.6440530714285714
ENSG00000094804,359.1887859999828,2.6420109686367805,0.6650355279207022,3.9727365797994025,7.105161000748045e-5,0.01778484491084301,CDC6,10.242811333333334,1.2059018571428572
ENSG00000100591,675.1191656711334,1.1590908463553453,0.3219607577461463,3.600099758956475,3.1809511683902056e-4,0.045119141530974745,AHSA1,27.2281495,12.328409214285715
ENSG00000101003,217.02071563587918,1.9579836033898461,0.41005484684648175,4.774931008492348,1.7976887325832196e-6,0.0013946054799134616,GINS1,5.612755333333333,1.6416313571428571
ENSG00000101057,359.87558918575877,3.0067972808985775,0.6530438732125362,4.604280668168831,4.138939620043191e-6,0.002429272112853626,MYBL2,5.932370166666667,0.5387462142857142
ENSG00000101412,205.9273583378529,2.055802819036253,0.5568867498696795,3.691599449111232,2.2284822849153441e-4,0.03718725193288635,E2F1,3.8152195,0.5465682857142857
ENSG00000101447,118.82083876937375,3.271507800162727,0.5928154986137569,5.518593572220765,3.4172349883687264e-8,4.1546254812160065e-5,FAM83D,3.140239166666667,0.36714364285714285
ENSG00000103034,114.5620777204668,1.5561463233539956,0.43036167829470123,3.6159035570271767,2.9930180038471524e-4,0.042810218019733094,NDRG4,2.1664215000000002,1.2805246428571428
ENSG00000103226,868.2834887320805,-1.0958668828008582,0.26473954994196675,-4.139415070551725,3.481924722996392e-5,0.01077560740184029,NOMO3,20.8195065,12.9747185
ENSG00000104549,565.4399850116241,2.2991923402236027,0.5828720678183196,3.9445917331901685,7.993604973345173e-5,0.019718717427725824,SQLE,16.125741666666666,3.345630857142857
