ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0042287,MHC protein binding,6/112,32/15616,9.258219386872334e-8,2.407137040586807e-5,1.9588443123803574e-5,CD4/CD74/LAG3/CD8A/CD8B/HLA-E,6
GO:0019865,immunoglobulin binding,4/112,22/15616,1.6601456319625416e-5,0.0018823948399216703,0.0015318273798552865,CD4/LGALS3/FCER1G/FCGR3A,4
GO:0023023,MHC protein complex binding,4/112,25/15616,2.823689568961151e-5,0.0018823948399216703,0.0015318273798552865,CD74/CD8A/HLA-DMA/HLA-DMB,4
GO:0140375,immune receptor activity,7/112,123/15616,2.8959920614179543e-5,0.0018823948399216703,0.0015318273798552865,CD4/CD74/FCER1G/CCR5/CCR1/HLA-DPA1/IL10RB,7
GO:0003823,antigen binding,5/112,55/15616,4.5352126733390426e-5,0.002358310590136302,0.0019191110470339952,LAG3/LILRB4/PSAP/HLA-E/HLA-DPA1,5
GO:0043394,proteoglycan binding,4/112,35/15616,1.1059543198348492e-4,0.004792468719284347,0.003899944180470258,ADA2/APOE/CTSL/CTSS,4
GO:0023026,MHC class II protein complex binding,3/112,16/15616,1.8789281746656733e-4,0.00652638639136579,0.005310946010787546,CD74/HLA-DMA/HLA-DMB,3
GO:0001540,amyloid-beta binding,5/112,75/15616,2.0081188896510122e-4,0.00652638639136579,0.005310946010787546,MARCO/CD74/APOE/ITGB2/C1QA,5
GO:0015026,coreceptor activity,4/112,46/15616,3.2440141754369324e-4,0.009371596506817804,0.007626278938746472,CD4/CD8A/CCR5/CD8B,4
GO:0042288,MHC class I protein binding,3/112,21/15616,4.34736431827396e-4,0.011303147227512297,0.00919810766287438,CD8A/CD8B/HLA-E,3
GO:0008198,ferrous iron binding,3/112,23/15616,5.728735585905218e-4,0.012625886288969016,0.010274506656205556,FTL/ACP5/ISCU,3
GO:0004896,cytokine receptor activity,5/112,95/15616,6.018147506972004e-4,0.012625886288969016,0.010274506656205556,CD4/CD74/CCR5/CCR1/IL10RB,5
GO:0004197,cysteine-type endopeptidase activity,5/112,96/15616,6.312943144484508e-4,0.012625886288969016,0.010274506656205556,LGMN/CTSZ/CTSC/CTSL/CTSS,5
GO:0048020,CCR chemokine receptor binding,3/112,31/15616,0.0013946381978268755,0.02590042367392769,0.021076862989714434,CCL4/CCL18/CCL4L2,3
GO:0008234,cysteine-type peptidase activity,5/112,120/15616,0.0017184349438560665,0.02978620569350515,0.024238977102811886,LGMN/CTSZ/CTSC/CTSL/CTSS,5
GO:0019955,cytokine binding,5/112,125/15616,0.002055901840928219,0.03340840491508356,0.027186596712274476,CD4/CD74/TNFRSF1B/CCR5/CCR1,5
GO:0008009,chemokine activity,3/112,38/15616,0.0025238362912126905,0.038599849159723504,0.03141121328382358,CCL4/CCL18/CCL4L2,3
GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",4/112,81/15616,0.002729447095169349,0.039425346930223926,0.032082974627429185,MAN2B1/FUCA1/GM2A/PSAP,4
GO:0033218,amide binding,8/112,337/15616,0.0029450790667640042,0.04030108196624427,0.032795617308563146,MARCO/CD74/APOE/ITGB2/C1QA/PSAP/HLA-E/HLA-DPA1,8
GO:0042277,peptide binding,7/112,269/15616,0.0032452237899596803,0.04218790926947585,0.03433105167273135,MARCO/CD74/APOE/ITGB2/C1QA/HLA-E/HLA-DPA1,7
