ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0005775,vacuolar lumen,18/114,156/15926,4.5472677431065945e-17,8.548863357040397e-15,5.743917149187278e-15,CD74/GRN/FTL/ADA2/LGMN/ASAH1/MAN2B1/LIPA/CTSC/CTSD/CTSL/GNS/CTSS/FUCA1/TCN2/GM2A/PSAP/IFI30,18
GO:0043202,lysosomal lumen,14/114,90/15926,2.344889261506794e-15,2.2041959058163863e-13,1.4809826914779752e-13,CD74/LGMN/ASAH1/MAN2B1/LIPA/CTSD/CTSL/GNS/CTSS/FUCA1/TCN2/GM2A/PSAP/IFI30,14
GO:0005766,primary lysosome,11/114,142/15926,5.631963647410608e-9,2.647022914282986e-7,1.7785148360244027e-7,GRN/FTL/ADA2/MAN2B1/CTSC/CD68/GNS/BRI3/FUCA1/GM2A/PSAP,11
GO:0042582,azurophil granule,11/114,142/15926,5.631963647410608e-9,2.647022914282986e-7,1.7785148360244027e-7,GRN/FTL/ADA2/MAN2B1/CTSC/CD68/GNS/BRI3/FUCA1/GM2A/PSAP,11
GO:0009897,external side of plasma membrane,14/114,311/15926,4.736614189641076e-8,1.7809669353050445e-6,1.196618321593535e-6,CD4/CD74/LAG3/CD8A/FCER1G/ITGB2/CD3G/CCR5/ICOS/CCR1/CD163/FCGR3A/HLA-E/PECAM1,14
GO:0005770,late endosome,13/114,268/15926,6.196181697971337e-8,1.941470265364352e-6,1.3044593048360712e-6,CD74/GRN/LGMN/SLA2/CD68/CTSL/OSBPL11/CTSS/RILP/VAMP5/PSAP/HLA-DMA/HLA-DMB,13
GO:0035578,azurophil granule lumen,8/114,80/15926,1.0156993134163878e-7,2.7278781560325842e-6,1.8328408663152863e-6,GRN/FTL/ADA2/MAN2B1/CTSC/GNS/FUCA1/GM2A,8
GO:0042611,MHC protein complex,5/114,22/15926,4.1111958408228583e-7,9.661310225933717e-6,6.491361853930829e-6,CD74/HLA-DMA/HLA-E/HLA-DPA1/HLA-DMB,5
GO:0034774,secretory granule lumen,12/114,296/15926,1.3872027011910476e-6,2.897712309154633e-5,1.946951159566383e-5,SERPINB1/GRN/FTL/ADA2/CTSZ/MAN2B1/CTSC/CTSD/GNS/CSTB/FUCA1/GM2A,12
GO:0060205,cytoplasmic vesicle lumen,12/114,300/15926,1.5960940139739793e-6,2.9236162926977993e-5,1.9643558517566405e-5,SERPINB1/GRN/FTL/ADA2/CTSZ/MAN2B1/CTSC/CTSD/GNS/CSTB/FUCA1/GM2A,12
GO:0031983,vesicle lumen,12/114,302/15926,1.7106265542380742e-6,2.9236162926977993e-5,1.9643558517566405e-5,SERPINB1/GRN/FTL/ADA2/CTSZ/MAN2B1/CTSC/CTSD/GNS/CSTB/FUCA1/GM2A,12
GO:0010008,endosome membrane,15/114,493/15926,2.3191210282391987e-6,3.410824983639621e-5,2.2917077157713023e-5,SNX10/RFFL/NCF4/SLA2/CTSD/CD68/TMBIM1/OSBPL11/RILP/MMGT1/CD8B/HLA-DMA/HLA-E/HLA-DPA1/HLA-DMB,15
GO:0042613,MHC class II protein complex,4/114,14/15926,2.3585491908146317e-6,3.410824983639621e-5,2.2917077157713023e-5,CD74/HLA-DMA/HLA-DPA1/HLA-DMB,4
GO:0062023,collagen-containing extracellular matrix,13/114,392/15926,4.5648258641574775e-6,6.129909017582899e-5,4.118639877435319e-5,SERPINB1/CTSZ/CTSC/CTSD/APOE/LGALS3/CTSL/C1QC/CSTB/CTSS/C1QB/C1QA/PSAP,13
GO:0042101,T cell receptor complex,4/114,17/15926,5.515454369485044e-6,6.912702809754589e-5,4.644593153250564e-5,CD4/CD8A/CD3G/CD8B,4
GO:0030667,secretory granule membrane,11/114,287/15926,6.681188680266147e-6,7.850396699312723e-5,5.27462264231538e-5,TYROBP/TNFRSF1B/CD68/LGALS3/TMBIM1/FCER1G/ITGB2/BRI3/CYBB/PSAP/PECAM1,11
GO:0005774,vacuolar membrane,13/114,419/15926,9.35933250895046e-6,9.955408449070531e-5,6.688964243496439e-5,CD74/GRN/MAN2B1/CTSD/CD68/TMBIM1/LAPTM5/BRI3/RILP/PSAP/HLA-DMA/HLA-DPA1/HLA-DMB,13
GO:0030139,endocytic vesicle,11/114,298/15926,9.531774046982424e-6,9.955408449070531e-5,6.688964243496439e-5,MARCO/CD74/NCF4/APOE/CTSS/CYBB/RILP/CD163/MPEG1/HLA-E/HLA-DPA1,11
