ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0005775,vacuolar lumen,25/222,157/16010,1.2367002072140662e-19,3.4503935781272445e-17,2.5384898990183464e-17,CD74/GRN/FTL/ADA2/LGMN/ASAH1/MAN2B1/PLD3/LIPA/CTSC/FASLG/CTSD/NPC2/OMD/CTSL/GNS/CREG1/CTSS/CTSB/FUCA1/TCN2/GM2A/PSAP/HEXA/IFI30,25
GO:0043202,lysosomal lumen,20/222,90/16010,6.314470691782851e-19,8.808686615037076e-17,6.480640973145558e-17,CD74/LGMN/ASAH1/MAN2B1/PLD3/LIPA/FASLG/CTSD/NPC2/OMD/CTSL/GNS/CTSS/CTSB/FUCA1/TCN2/GM2A/PSAP/HEXA/IFI30,20
GO:0042611,MHC protein complex,10/222,22/16010,1.1996301471114425e-13,1.1156560368136415e-11,8.20799574339408e-12,CD74/HLA-DOA/HLA-DMA/HLA-DRA/HLA-E/HLA-A/HLA-DPB1/HLA-DPA1/HLA-DQA1/HLA-DMB,10
GO:0009897,external side of plasma membrane,25/222,315/16010,1.9031331931843214e-12,1.3274354022460642e-10,9.766078228182703e-11,CD4/CD74/MSR1/FCGR2B/PTPRC/LAG3/IL2RB/TLR8/FASLG/CXCR4/TLR4/IL2RG/CD8A/FCER1G/ITGB2/CCR5/CTLA4/ICOS/CCR1/CTSB/CD14/CD163/FCGR3A/HLA-E/PECAM1,25
GO:0042613,MHC class II protein complex,8/222,14/16010,3.3686109225343223e-12,1.8796848947741517e-10,1.3829034313561954e-10,CD74/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQA1/HLA-DMB,8
GO:0030139,endocytic vesicle,23/222,299/16010,2.9138293220195976e-11,1.3549306347391128e-9,9.968363470067046e-10,MARCO/CD74/MSR1/CYBA/NCF4/UNC93B1/ATP6V0E1/RAP1A/RAC2/APOE/CTSS/CTLA4/CYBB/PIP4P1/RILP/CD163/MPEG1/HLA-DRA/HLA-E/HLA-A/HLA-DPB1/HLA-DPA1/HLA-DQA1,23
GO:0010008,endosome membrane,29/222,493/16010,4.86241013547153e-11,1.938017753995081e-9,1.4258195134089451e-9,SNX10/RFFL/MARCHF2/NCF4/SLA2/TLR8/PLD3/ATP6V0E1/SNX17/CTSD/CD68/TMBIM1/TLR4/OSBPL11/PIP4P1/SNX20/RILP/MMGT1/CD14/CD8B/HLA-DOA/HLA-DMA/HLA-DRA/HLA-E/HLA-A/HLA-DPB1/HLA-DPA1/HLA-DQA1/HLA-DMB,29
GO:0030666,endocytic vesicle membrane,17/222,157/16010,6.190348604399094e-11,2.1588840757841837e-9,1.5883131287602938e-9,MARCO/CD74/MSR1/CYBA/ATP6V0E1/RAC2/APOE/CYBB/PIP4P1/RILP/CD163/HLA-DRA/HLA-E/HLA-A/HLA-DPB1/HLA-DPA1/HLA-DQA1,17
GO:0005774,vacuolar membrane,25/222,419/16010,8.687749905581405e-10,2.6932024707302356e-8,1.9814166451326012e-8,CD74/GRN/MARCHF2/TLR8/MAN2B1/PLD3/CTSD/CD68/BLOC1S1/TMBIM1/LAPTM5/BRI3/PIP4P1/RILP/GABARAP/C3AR1/AP1S2/PSAP/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQA1/HLA-DMB,25
GO:0005770,late endosome,20/222,269/16010,1.101721851375634e-9,3.073803965338019e-8,2.261429063349986e-8,CD74/GRN/CST7/LGMN/SLA2/CST3/PLD3/RAP1A/CXCR4/CD68/CTSL/OSBPL11/CTSS/PIP4P1/RILP/VAMP5/PSAP/HLA-DMA/HLA-DRA/HLA-DMB,20
