NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES	REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES	Details ...	22	0.68394965	1.9753844	0.0012458472	1.0	0.3004	1600	tags=45%, list=9%, signal=50%	
LINDSTEDT_DENDRITIC_CELL_MATURATION_C	LINDSTEDT_DENDRITIC_CELL_MATURATION_C	Details ...	60	0.56410366	1.9305061	8.3857443E-4	1.0	0.4629	3509	tags=48%, list=20%, signal=60%	
BIOCARTA_EDG1_PATHWAY	BIOCARTA_EDG1_PATHWAY	Details ...	21	0.6535416	1.9056242	0.0029793573	1.0	0.5584	1360	tags=38%, list=8%, signal=41%	
ALCALAY_AML_BY_NPM1_LOCALIZATION_DN	ALCALAY_AML_BY_NPM1_LOCALIZATION_DN	Details ...	178	0.49625576	1.9014236	0.0014887282	0.9726516	0.5729	4728	tags=54%, list=27%, signal=74%	
KEGG_PRION_DISEASES	KEGG_PRION_DISEASES	Details ...	31	0.5822006	1.8748622	0.0025015634	1.0	0.6684	3795	tags=52%, list=22%, signal=66%	
REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS	REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS	Details ...	28	0.69866294	1.8660588	0.00407581	1.0	0.6993	2128	tags=57%, list=12%, signal=65%	
ONO_FOXP3_TARGETS_UP	ONO_FOXP3_TARGETS_UP	Details ...	22	0.6526926	1.8649863	0.0033507852	0.89556885	0.7024	1925	tags=50%, list=11%, signal=56%	
HOFFMANN_SMALL_PRE_BII_TO_IMMATURE_B_LYMPHOCYTE_UP	HOFFMANN_SMALL_PRE_BII_TO_IMMATURE_B_LYMPHOCYTE_UP	Details ...	62	0.54115814	1.8644284	0.009266886	0.7887043	0.7034	2154	tags=34%, list=12%, signal=39%	
XU_CREBBP_TARGETS_DN	XU_CREBBP_TARGETS_DN	Details ...	37	0.55517733	1.8552023	0.0033044196	0.7888553	0.7354	3123	tags=49%, list=18%, signal=59%	
LAMB_CCND1_TARGETS	LAMB_CCND1_TARGETS	Details ...	18	0.67704177	1.8490392	0.001056859	0.7658035	0.7537	2380	tags=44%, list=14%, signal=51%	
HOWLIN_CITED1_TARGETS_1_UP	HOWLIN_CITED1_TARGETS_1_UP	Details ...	31	0.5368999	1.8442146	0.003418073	0.7382939	0.7665	3955	tags=42%, list=23%, signal=54%	
ZHAN_EARLY_DIFFERENTIATION_GENES_DN	ZHAN_EARLY_DIFFERENTIATION_GENES_DN	Details ...	42	0.54005677	1.8329087	0.003409333	0.7766769	0.7983	4492	tags=57%, list=26%, signal=77%	
ZHAN_MULTIPLE_MYELOMA_HP_UP	ZHAN_MULTIPLE_MYELOMA_HP_UP	Details ...	41	0.5806504	1.8301995	0.008377605	0.7408957	0.8071	2789	tags=41%, list=16%, signal=49%	
BARIS_THYROID_CANCER_DN	BARIS_THYROID_CANCER_DN	Details ...	58	0.5131093	1.8087356	2.0721093E-4	0.8864497	0.8632	3539	tags=43%, list=20%, signal=54%	
GREENBAUM_E2A_TARGETS_DN	GREENBAUM_E2A_TARGETS_DN	Details ...	19	0.65056986	1.8007255	0.0066819796	0.90424126	0.8793	3896	tags=53%, list=23%, signal=68%	
REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION	REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION	Details ...	23	0.58671063	1.7986203	0.0033333334	0.8677237	0.8835	3829	tags=52%, list=22%, signal=67%	
REACTOME_RHOU_GTPASE_CYCLE	REACTOME_RHOU_GTPASE_CYCLE	Details ...	34	0.50171983	1.7951934	0.003969083	0.84921724	0.8897	2672	tags=32%, list=15%, signal=38%	
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	Details ...	67	0.61601275	1.793394	0.017558187	0.8181448	0.8926	3291	tags=55%, list=19%, signal=68%	
REACTOME_EPHRIN_SIGNALING	REACTOME_EPHRIN_SIGNALING	Details ...	19	0.6518377	1.7906691	0.010827375	0.79849285	0.8973	1131	tags=42%, list=7%, signal=45%	
STARK_HYPPOCAMPUS_22Q11_DELETION_DN	STARK_HYPPOCAMPUS_22Q11_DELETION_DN	Details ...	21	0.65272874	1.7846453	0.011551155	0.8109196	0.9085	3251	tags=62%, list=19%, signal=76%	
REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY	REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY		27	0.51620466	1.7835523	6.4377685E-4	0.78177106	0.9098	3255	tags=41%, list=19%, signal=50%	
BIOCARTA_CREB_PATHWAY	BIOCARTA_CREB_PATHWAY		21	0.65378004	1.7811639	0.009392611	0.76568216	0.9135	4635	tags=62%, list=27%, signal=84%	
BYSTROEM_CORRELATED_WITH_IL5_UP	BYSTROEM_CORRELATED_WITH_IL5_UP		40	0.522114	1.7786621	0.0016952744	0.75245184	0.9174	2910	tags=43%, list=17%, signal=51%	
LEE_CALORIE_RESTRICTION_NEOCORTEX_DN	LEE_CALORIE_RESTRICTION_NEOCORTEX_DN		57	0.48268768	1.7773386	0.0010495383	0.7317361	0.9198	4685	tags=56%, list=27%, signal=77%	
LINDGREN_BLADDER_CANCER_WITH_LOH_IN_CHR9Q	LINDGREN_BLADDER_CANCER_WITH_LOH_IN_CHR9Q		112	0.4915717	1.7759204	0.018833537	0.7132818	0.9226	3302	tags=45%, list=19%, signal=55%	
WP_TCELL_RECEPTOR_AND_COSTIMULATORY_SIGNALING	WP_TCELL_RECEPTOR_AND_COSTIMULATORY_SIGNALING		28	0.6635443	1.7738003	0.019172553	0.7015238	0.9251	2823	tags=61%, list=16%, signal=72%	
GHO_ATF5_TARGETS_DN	GHO_ATF5_TARGETS_DN		16	0.69977385	1.7725259	0.0097591365	0.6846118	0.9269	3163	tags=63%, list=18%, signal=76%	
PID_S1P_S1P3_PATHWAY	PID_S1P_S1P3_PATHWAY		29	0.57591605	1.7719328	0.0154926665	0.66418576	0.9274	811	tags=34%, list=5%, signal=36%	
BIOCARTA_TNFR2_PATHWAY	BIOCARTA_TNFR2_PATHWAY		17	0.6670299	1.7664706	0.014714899	0.679956	0.9325	3476	tags=65%, list=20%, signal=81%	
PARK_TRETINOIN_RESPONSE_AND_PML_RARA_FUSION	PARK_TRETINOIN_RESPONSE_AND_PML_RARA_FUSION		29	0.6363457	1.7579067	0.019091098	0.7188091	0.9435	3652	tags=66%, list=21%, signal=83%	
BIOCARTA_HCMV_PATHWAY	BIOCARTA_HCMV_PATHWAY		17	0.6683297	1.7575204	0.006570842	0.698444	0.944	2869	tags=53%, list=17%, signal=63%	
PID_P38_ALPHA_BETA_PATHWAY	PID_P38_ALPHA_BETA_PATHWAY		30	0.55638176	1.7539403	0.010187449	0.7021104	0.9478	4529	tags=60%, list=26%, signal=81%	
BIOCARTA_CD40_PATHWAY	BIOCARTA_CD40_PATHWAY		15	0.6710435	1.7506589	0.015353122	0.70386523	0.9512	3238	tags=67%, list=19%, signal=82%	
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION		61	0.6780583	1.7501906	0.02243067	0.6864293	0.9514	4708	tags=82%, list=27%, signal=112%	
MUNSHI_MULTIPLE_MYELOMA_UP	MUNSHI_MULTIPLE_MYELOMA_UP		75	0.55308324	1.7491648	0.008203445	0.6735768	0.9524	5478	tags=65%, list=32%, signal=95%	
PARK_APL_PATHOGENESIS_DN	PARK_APL_PATHOGENESIS_DN		44	0.5576632	1.7472785	0.024455959	0.66779953	0.9541	4960	tags=57%, list=29%, signal=79%	
MARSHALL_VIRAL_INFECTION_RESPONSE_DN	MARSHALL_VIRAL_INFECTION_RESPONSE_DN		28	0.6095059	1.7457933	0.01575456	0.65997577	0.9555	5035	tags=71%, list=29%, signal=101%	
REACTOME_RHOH_GTPASE_CYCLE	REACTOME_RHOH_GTPASE_CYCLE		36	0.5388405	1.7393974	0.0073185605	0.68571824	0.9627	3061	tags=44%, list=18%, signal=54%	
MARKS_HDAC_TARGETS_UP	MARKS_HDAC_TARGETS_UP		21	0.5779507	1.7383401	0.010146104	0.6750645	0.9638	3628	tags=48%, list=21%, signal=60%	
KEGG_STEROID_BIOSYNTHESIS	KEGG_STEROID_BIOSYNTHESIS		17	0.6654633	1.734898	0.020257827	0.6813622	0.9668	3735	tags=59%, list=22%, signal=75%	
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES		31	0.49770692	1.7312608	0.0073793377	0.68929183	0.9707	1282	tags=23%, list=7%, signal=24%	
REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE	REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE		33	0.5380578	1.7308801	0.008726366	0.67538357	0.9708	2937	tags=42%, list=17%, signal=51%	
PID_E2F_PATHWAY	PID_E2F_PATHWAY		72	0.5053558	1.7276871	0.0048523205	0.68097824	0.9727	2235	tags=36%, list=13%, signal=41%	
REACTOME_NEGATIVE_REGULATION_OF_FGFR4_SIGNALING	REACTOME_NEGATIVE_REGULATION_OF_FGFR4_SIGNALING		23	0.5003264	1.7206835	0.004918033	0.71231776	0.9768	1282	tags=26%, list=7%, signal=28%	
DIRMEIER_LMP1_RESPONSE_LATE_UP	DIRMEIER_LMP1_RESPONSE_LATE_UP		54	0.542867	1.7201864	0.022345223	0.6997875	0.9771	5009	tags=61%, list=29%, signal=86%	
XU_RESPONSE_TO_TRETINOIN_UP	XU_RESPONSE_TO_TRETINOIN_UP		15	0.7180089	1.7201208	0.0141162025	0.6850051	0.9771	2214	tags=47%, list=13%, signal=53%	
WP_NETRINUNC5B_SIGNALING_PATHWAY	WP_NETRINUNC5B_SIGNALING_PATHWAY		50	0.4864432	1.7191352	0.011436889	0.6769895	0.9777	2154	tags=34%, list=12%, signal=39%	
BOHN_PRIMARY_IMMUNODEFICIENCY_SYNDROM_DN	BOHN_PRIMARY_IMMUNODEFICIENCY_SYNDROM_DN		38	0.58076954	1.7163295	0.028059702	0.68111664	0.98	3320	tags=50%, list=19%, signal=62%	
PID_PLK1_PATHWAY	PID_PLK1_PATHWAY		45	0.5948025	1.7158473	0.020957468	0.67029494	0.9804	3882	tags=58%, list=22%, signal=74%	
PID_IL8_CXCR2_PATHWAY	PID_IL8_CXCR2_PATHWAY		33	0.5865015	1.7139617	0.03135246	0.66898435	0.9815	4193	tags=58%, list=24%, signal=76%	
WP_IL7_SIGNALING_PATHWAY	WP_IL7_SIGNALING_PATHWAY		25	0.64123726	1.7125801	0.023183607	0.6645188	0.9826	4635	tags=72%, list=27%, signal=98%	
FERRANDO_LYL1_NEIGHBORS	FERRANDO_LYL1_NEIGHBORS		15	0.65674144	1.7121944	0.022469593	0.6539774	0.9829	4302	tags=73%, list=25%, signal=98%	
WP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PATHWAY	WP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PATHWAY		30	0.5482775	1.7101731	0.012775603	0.65403503	0.9835	4315	tags=53%, list=25%, signal=71%	
WP_SIGNAL_TRANSDUCTION_OF_S1P_RECEPTOR	WP_SIGNAL_TRANSDUCTION_OF_S1P_RECEPTOR		25	0.53834933	1.7095996	0.010443307	0.64557743	0.9838	780	tags=24%, list=5%, signal=25%	
THEILGAARD_NEUTROPHIL_AT_SKIN_WOUND_DN	THEILGAARD_NEUTROPHIL_AT_SKIN_WOUND_DN		223	0.42027852	1.7064688	0.009635096	0.65263283	0.9854	4346	tags=41%, list=25%, signal=54%	
PID_TXA2PATHWAY	PID_TXA2PATHWAY		55	0.55203575	1.7047105	0.037196875	0.65144217	0.9856	4480	tags=56%, list=26%, signal=76%	
BIOCARTA_CTCF_PATHWAY	BIOCARTA_CTCF_PATHWAY		24	0.5793679	1.7020948	0.019592002	0.65620047	0.9872	2705	tags=42%, list=16%, signal=49%	
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION		16	0.6285391	1.698343	0.013633669	0.66785973	0.9881	2879	tags=50%, list=17%, signal=60%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1		171	0.40923607	1.6963139	0.0023534447	0.66936314	0.9894	3815	tags=42%, list=22%, signal=53%	
REACTOME_TCR_SIGNALING	REACTOME_TCR_SIGNALING		115	0.5771859	1.6944728	0.026492765	0.66925955	0.9898	3740	tags=57%, list=22%, signal=73%	
REACTOME_LDL_CLEARANCE	REACTOME_LDL_CLEARANCE		19	0.59408116	1.6944349	0.010557433	0.65848273	0.9898	2374	tags=47%, list=14%, signal=55%	
WP_NOVEL_INTRACELLULAR_COMPONENTS_OF_RIGILIKE_RECEPTOR_RLR_PATHWAY	WP_NOVEL_INTRACELLULAR_COMPONENTS_OF_RIGILIKE_RECEPTOR_RLR_PATHWAY		56	0.49649563	1.6939307	0.01841244	0.6508596	0.9898	4884	tags=57%, list=28%, signal=79%	
