NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
WP_CILIOPATHIES	WP_CILIOPATHIES	Details ...	175	-0.47522596	-1.7690507	0.006932409	1.0	0.9382	3657	tags=47%, list=21%, signal=59%	
RIZ_ERYTHROID_DIFFERENTIATION_6HR	RIZ_ERYTHROID_DIFFERENTIATION_6HR	Details ...	30	-0.54776436	-1.7193376	0.005351541	1.0	0.9816	3852	tags=53%, list=22%, signal=68%	
WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	Details ...	96	-0.46005177	-1.712423	0.010412649	1.0	0.9846	3526	tags=42%, list=20%, signal=52%	
NIKOLSKY_BREAST_CANCER_8Q23_Q24_AMPLICON	NIKOLSKY_BREAST_CANCER_8Q23_Q24_AMPLICON	Details ...	143	-0.61006147	-1.6779131	0.07191781	1.0	0.9949	4278	tags=62%, list=25%, signal=81%	
REACTOME_OLFACTORY_SIGNALING_PATHWAY	REACTOME_OLFACTORY_SIGNALING_PATHWAY	Details ...	118	-0.58560234	-1.6617912	0.04000777	1.0	0.9973	3676	tags=54%, list=21%, signal=68%	
KEGG_OLFACTORY_TRANSDUCTION	KEGG_OLFACTORY_TRANSDUCTION	Details ...	128	-0.55669355	-1.6416662	0.045252368	1.0	0.9987	3676	tags=52%, list=21%, signal=66%	
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_DN	SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_DN	Details ...	51	-0.52874976	-1.6347171	0.031256106	1.0	0.9992	4435	tags=55%, list=26%, signal=74%	
REACTOME_SENSORY_PERCEPTION	REACTOME_SENSORY_PERCEPTION	Details ...	268	-0.4328282	-1.6085998	0.025568716	1.0	0.9997	3729	tags=40%, list=22%, signal=50%	
WEBER_METHYLATED_IN_COLON_CANCER	WEBER_METHYLATED_IN_COLON_CANCER	Details ...	18	-0.5409755	-1.6028744	0.030972615	1.0	0.9998	4699	tags=50%, list=27%, signal=69%	
WP_GPCRS_CLASS_C_METABOTROPIC_GLUTAMATE_PHEROMONE	WP_GPCRS_CLASS_C_METABOTROPIC_GLUTAMATE_PHEROMONE	Details ...	15	-0.6415985	-1.570074	0.040472176	1.0	0.9999	3819	tags=73%, list=22%, signal=94%	
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	Details ...	30	-0.5960115	-1.5488232	0.036580812	1.0	1.0	3790	tags=67%, list=22%, signal=85%	
