NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	103	0.5124452	1.8791957	0.0010399334	0.08560119	0.0417	3208	tags=43%, list=19%, signal=52%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	73	0.48019844	1.6769034	0.02767135	0.35760358	0.2301	2907	tags=38%, list=17%, signal=46%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	195	0.50367177	1.642193	0.051192433	0.31225863	0.2763	5002	tags=56%, list=29%, signal=78%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	198	0.5983566	1.5996989	0.09262295	0.31792584	0.3379	3594	tags=58%, list=21%, signal=72%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	197	0.511359	1.5853838	0.069438756	0.27875102	0.3568	5009	tags=55%, list=29%, signal=77%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	186	0.5623532	1.5617545	0.1067941	0.27095363	0.3916	4351	tags=61%, list=25%, signal=81%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	196	0.45413846	1.5573969	0.05630486	0.2386656	0.3975	4225	tags=43%, list=24%, signal=57%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	84	0.5239914	1.5360163	0.09468822	0.23826255	0.4309	3955	tags=49%, list=23%, signal=63%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	95	0.42177606	1.5123104	0.061308183	0.2423175	0.4638	4539	tags=42%, list=26%, signal=57%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	150	0.40555772	1.5116684	0.04814335	0.21891408	0.4648	3554	tags=37%, list=21%, signal=47%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	48	0.5024576	1.506469	0.08021726	0.2043547	0.4721	5067	tags=60%, list=29%, signal=85%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	198	0.49562535	1.4625744	0.14841849	0.23968685	0.5359	5072	tags=58%, list=29%, signal=81%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	101	0.37021172	1.449419	0.047977626	0.23735979	0.5581	3979	tags=36%, list=23%, signal=46%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	96	0.5840263	1.4421209	0.1801217	0.22827597	0.5663	4332	tags=65%, list=25%, signal=86%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	197	0.35910013	1.4211638	0.11163087	0.23629966	0.5959	3061	tags=28%, list=18%, signal=34%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	196	0.53546125	1.403954	0.18961994	0.24034111	0.6208	5731	tags=64%, list=33%, signal=95%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	152	0.35469314	1.3838481	0.08835691	0.24866398	0.6485	3109	tags=30%, list=18%, signal=36%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	0.49846652	1.3803334	0.21141349	0.23832184	0.6521	5285	tags=56%, list=31%, signal=80%	
