NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES	REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES	Details ...	23	0.7264665	2.108806	2.0656889E-4	0.15869881	0.0678	776	tags=48%, list=4%, signal=50%	
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	Details ...	67	0.7038593	2.0448864	8.0337416E-4	0.24920769	0.1604	2399	tags=58%, list=13%, signal=67%	
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP	FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP	Details ...	86	0.8100543	2.0432618	3.994408E-4	0.17102301	0.1644	1627	tags=72%, list=9%, signal=79%	
REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS	REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS	Details ...	28	0.7566538	2.0175486	4.0642146E-4	0.19796924	0.2248	1518	tags=61%, list=9%, signal=66%	
LU_IL4_SIGNALING	LU_IL4_SIGNALING	Details ...	90	0.55358183	1.9829293	0.0010366992	0.27759454	0.3273	3429	tags=48%, list=19%, signal=59%	
BIOCARTA_BCR_PATHWAY	BIOCARTA_BCR_PATHWAY	Details ...	33	0.6408661	1.9719249	0.0020120724	0.27356035	0.3676	2329	tags=52%, list=13%, signal=59%	
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP	ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP	Details ...	112	0.67843443	1.9666674	0.0030819806	0.2532225	0.3854	2541	tags=60%, list=14%, signal=69%	
DEMAGALHAES_AGING_UP	DEMAGALHAES_AGING_UP	Details ...	53	0.6676117	1.966359	0.0031036623	0.22277197	0.3866	3168	tags=62%, list=18%, signal=75%	
KEGG_PRION_DISEASES	KEGG_PRION_DISEASES	Details ...	32	0.6110583	1.9627572	0.0012639562	0.20933855	0.3995	2865	tags=44%, list=16%, signal=52%	
MULLIGHAN_MLL_SIGNATURE_1_UP	MULLIGHAN_MLL_SIGNATURE_1_UP	Details ...	378	0.5233239	1.9591069	0.0035051547	0.1989929	0.4117	3266	tags=46%, list=18%, signal=55%	
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	Details ...	111	0.6392137	1.9587753	0.006436042	0.18177117	0.4127	2488	tags=54%, list=14%, signal=62%	
BIOCARTA_CCR5_PATHWAY	BIOCARTA_CCR5_PATHWAY	Details ...	17	0.72962964	1.9569101	8.0208544E-4	0.1711745	0.4193	1252	tags=53%, list=7%, signal=57%	
PID_CD8_TCR_DOWNSTREAM_PATHWAY	PID_CD8_TCR_DOWNSTREAM_PATHWAY	Details ...	52	0.7029237	1.9568646	0.005057657	0.15812847	0.4194	2481	tags=63%, list=14%, signal=73%	
PID_IL2_1PATHWAY	PID_IL2_1PATHWAY	Details ...	54	0.58182716	1.9562057	0.0018621974	0.14839274	0.4218	2496	tags=43%, list=14%, signal=49%	
WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING_PATHWAY	WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING_PATHWAY	Details ...	47	0.6180566	1.9561571	0.0014167173	0.13862278	0.4222	2496	tags=47%, list=14%, signal=54%	
WEST_ADRENOCORTICAL_CARCINOMA_VS_ADENOMA_DN	WEST_ADRENOCORTICAL_CARCINOMA_VS_ADENOMA_DN	Details ...	24	0.71618634	1.9517559	0.0024554941	0.13863371	0.4402	985	tags=46%, list=6%, signal=48%	
BIOCARTA_BIOPEPTIDES_PATHWAY	BIOCARTA_BIOPEPTIDES_PATHWAY	Details ...	28	0.61158526	1.9463725	8.220304E-4	0.14132892	0.4604	2280	tags=46%, list=13%, signal=53%	
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE	REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE	Details ...	35	0.6581491	1.9429351	0.002415459	0.14006466	0.4731	2112	tags=49%, list=12%, signal=55%	
REACTOME_CTLA4_INHIBITORY_SIGNALING	REACTOME_CTLA4_INHIBITORY_SIGNALING	Details ...	21	0.66141427	1.9418291	0.0010204081	0.13505459	0.4779	3189	tags=52%, list=18%, signal=64%	
BIOCARTA_TCR_PATHWAY	BIOCARTA_TCR_PATHWAY	Details ...	44	0.6604277	1.9406086	0.006067961	0.1306056	0.4829	2329	tags=52%, list=13%, signal=60%	
