NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_OLFACTORY_SIGNALING_PATHWAY	REACTOME_OLFACTORY_SIGNALING_PATHWAY	Details ...	164	-0.6127575	-1.8332554	0.0049106264	1.0	0.814	4746	tags=70%, list=27%, signal=94%	
KEGG_OLFACTORY_TRANSDUCTION	KEGG_OLFACTORY_TRANSDUCTION	Details ...	172	-0.5881958	-1.8115511	0.007786646	1.0	0.8669	4746	tags=65%, list=27%, signal=87%	
WP_CILIOPATHIES	WP_CILIOPATHIES	Details ...	177	-0.4822267	-1.7587962	0.007611241	1.0	0.9543	4821	tags=54%, list=27%, signal=74%	
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	Details ...	31	-0.64251494	-1.7384609	0.012550686	1.0	0.9722	3502	tags=68%, list=20%, signal=84%	
REACTOME_SENSORY_PERCEPTION	REACTOME_SENSORY_PERCEPTION	Details ...	317	-0.45657203	-1.7177323	0.008193597	1.0	0.9851	4313	tags=47%, list=24%, signal=60%	
WP_GPCRS_CLASS_C_METABOTROPIC_GLUTAMATE_PHEROMONE	WP_GPCRS_CLASS_C_METABOTROPIC_GLUTAMATE_PHEROMONE	Details ...	15	-0.6366812	-1.6812028	0.012141068	1.0	0.9948	4403	tags=67%, list=25%, signal=88%	
WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	Details ...	96	-0.45969212	-1.6751009	0.019226957	1.0	0.9957	3603	tags=41%, list=20%, signal=51%	
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_DN	SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_DN	Details ...	51	-0.5584882	-1.6223252	0.034068532	1.0	0.9998	2379	tags=41%, list=13%, signal=47%	
NIKOLSKY_BREAST_CANCER_8Q23_Q24_AMPLICON	NIKOLSKY_BREAST_CANCER_8Q23_Q24_AMPLICON	Details ...	146	-0.5728715	-1.574532	0.105477855	1.0	0.9999	4044	tags=51%, list=23%, signal=66%	
REACTOME_NCAM1_INTERACTIONS	REACTOME_NCAM1_INTERACTIONS	Details ...	39	-0.49077663	-1.542006	0.043951984	1.0	1.0	2256	tags=36%, list=13%, signal=41%	
SABATES_COLORECTAL_ADENOMA_SIZE_UP	SABATES_COLORECTAL_ADENOMA_SIZE_UP	Details ...	19	-0.5030431	-1.5395457	0.04341145	1.0	1.0	3335	tags=53%, list=19%, signal=65%	
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2	CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2	Details ...	414	-0.3650632	-1.5299859	0.043727323	1.0	1.0	4670	tags=42%, list=26%, signal=56%	
ZWANG_DOWN_BY_2ND_EGF_PULSE	ZWANG_DOWN_BY_2ND_EGF_PULSE	Details ...	230	-0.35265058	-1.5222689	0.031007752	1.0	1.0	4229	tags=37%, list=24%, signal=48%	
ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	Details ...	38	-0.4377663	-1.5162238	0.029743975	1.0	1.0	6633	tags=50%, list=37%, signal=79%	
