NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	190	0.66996413	1.8903526	0.013322231	0.08944323	0.0427	2432	tags=59%, list=14%, signal=68%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	103	0.5076742	1.8505733	0.0012437811	0.07162778	0.064	3933	tags=48%, list=22%, signal=61%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	198	0.6439845	1.7781421	0.033552904	0.09972424	0.1201	3141	tags=60%, list=18%, signal=72%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	195	0.4924469	1.7701824	0.019949066	0.08038382	0.128	4255	tags=48%, list=24%, signal=63%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	84	0.55725306	1.6989982	0.044624325	0.122877315	0.2078	3213	tags=48%, list=18%, signal=58%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	198	0.47247866	1.6472712	0.045759864	0.15466183	0.2762	3032	tags=39%, list=17%, signal=46%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	159	0.4204405	1.6229802	0.01635514	0.1578876	0.3094	4961	tags=47%, list=28%, signal=64%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	197	0.39802477	1.6136583	0.03186999	0.14693776	0.3218	2792	tags=30%, list=16%, signal=35%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	49	0.52476597	1.6111306	0.03558644	0.13282998	0.324	5644	tags=61%, list=32%, signal=89%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	96	0.6244537	1.5754217	0.11013486	0.15188882	0.3712	2989	tags=58%, list=17%, signal=70%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	196	0.4685724	1.5664148	0.059000213	0.14627084	0.386	5997	tags=60%, list=34%, signal=89%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	198	0.44142318	1.5650761	0.06157427	0.1351952	0.3878	4063	tags=39%, list=23%, signal=50%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	153	0.44165775	1.5599939	0.044849787	0.1288603	0.3945	5382	tags=56%, list=30%, signal=79%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	197	0.512036	1.500355	0.11594203	0.16923866	0.4769	5692	tags=61%, list=32%, signal=88%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	194	0.3623975	1.4891945	0.034705754	0.16776812	0.4941	5743	tags=48%, list=32%, signal=71%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	95	0.43549815	1.4585545	0.086048454	0.18458791	0.5384	5915	tags=56%, list=33%, signal=83%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	0.54704994	1.4528241	0.15866084	0.17878531	0.5478	5176	tags=64%, list=29%, signal=88%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	188	0.3050626	1.4360605	0.024586597	0.18406767	0.5729	4798	tags=36%, list=27%, signal=48%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	73	0.42545018	1.4325461	0.10411876	0.17741627	0.5778	3889	tags=41%, list=22%, signal=52%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	153	0.3792127	1.4094678	0.09407439	0.18816516	0.6072	3806	tags=34%, list=21%, signal=43%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		196	0.35542235	1.3900827	0.09838473	0.19652468	0.6341	3537	tags=30%, list=20%, signal=37%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		196	0.54105484	1.3541093	0.23583744	0.21955249	0.6798	5493	tags=65%, list=31%, signal=93%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		149	0.3952602	1.3115641	0.1987474	0.2521457	0.7393	4895	tags=49%, list=27%, signal=67%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		99	0.33482543	1.2991562	0.13282937	0.2543419	0.7541	5186	tags=41%, list=29%, signal=58%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		195	0.41732913	1.2881685	0.25735897	0.25482467	0.7653	5324	tags=55%, list=30%, signal=77%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		128	0.33708116	1.2849036	0.17561185	0.24833554	0.7689	4976	tags=39%, list=28%, signal=54%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		102	0.3420753	1.2764528	0.1577138	0.2470873	0.7778	6158	tags=55%, list=35%, signal=83%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		187	0.2859212	1.2529346	0.13328883	0.2609794	0.8041	4615	tags=37%, list=26%, signal=50%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		54	0.36375713	1.2518004	0.20355974	0.253056	0.8051	3468	tags=35%, list=19%, signal=44%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		198	0.43547615	1.2317742	0.3050534	0.26335517	0.8252	5304	tags=55%, list=30%, signal=77%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		109	0.37941992	1.173777	0.32925057	0.31372172	0.8782	6213	tags=61%, list=35%, signal=92%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		58	0.4206157	1.0877959	0.4206333	0.40419015	0.9387	4259	tags=38%, list=24%, signal=50%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		198	0.235619	1.0429162	0.37634188	0.4494351	0.9602	3933	tags=29%, list=22%, signal=37%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		193	0.26691157	1.0187942	0.41131994	0.46838343	0.9691	5621	tags=38%, list=31%, signal=55%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		196	0.2452741	0.87541807	0.58962363	0.6643695	0.9946	5536	tags=41%, list=31%, signal=59%	
