NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
LEE_AGING_CEREBELLUM_UP	LEE_AGING_CEREBELLUM_UP	Details ...	77	0.5712352	2.1061206	6.31446E-4	0.09068336	0.0396	1541	tags=32%, list=9%, signal=35%	
MARKEY_RB1_ACUTE_LOF_DN	MARKEY_RB1_ACUTE_LOF_DN	Details ...	216	0.6480419	2.039005	4.1701418E-4	0.16579698	0.1162	3047	tags=58%, list=18%, signal=69%	
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP	ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP	Details ...	108	0.72672075	2.0307293	8.3857443E-4	0.13105595	0.1339	2393	tags=61%, list=14%, signal=70%	
RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP	RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP	Details ...	402	0.5785423	2.017067	0.0	0.12490007	0.161	4126	tags=56%, list=24%, signal=72%	
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES	REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES	Details ...	35	0.6502849	2.0147831	0.0	0.10457671	0.1666	1916	tags=46%, list=11%, signal=51%	
KEGG_LYSOSOME	KEGG_LYSOSOME	Details ...	120	0.6217079	1.9822439	0.0021372088	0.15314637	0.2496	2331	tags=48%, list=13%, signal=55%	
DER_IFN_GAMMA_RESPONSE_UP	DER_IFN_GAMMA_RESPONSE_UP	Details ...	70	0.69533235	1.9802052	2.0686802E-4	0.13617948	0.2545	3192	tags=61%, list=18%, signal=75%	
RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN	RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN	Details ...	311	0.5748086	1.9769002	8.298755E-4	0.12594001	0.263	4350	tags=59%, list=25%, signal=78%	
MARKEY_RB1_CHRONIC_LOF_DN	MARKEY_RB1_CHRONIC_LOF_DN	Details ...	114	0.5549542	1.9756019	0.0031833616	0.1140822	0.2665	2156	tags=39%, list=12%, signal=44%	
CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_DN	CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_DN	Details ...	100	0.69535273	1.9674181	0.0	0.11692443	0.2899	3111	tags=68%, list=18%, signal=82%	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	Details ...	460	0.58499527	1.9566319	4.2417814E-4	0.12764557	0.3236	3956	tags=55%, list=23%, signal=70%	
GAVIN_FOXP3_TARGETS_CLUSTER_T7	GAVIN_FOXP3_TARGETS_CLUSTER_T7	Details ...	98	0.6100391	1.950578	2.0678247E-4	0.12946019	0.3432	3975	tags=55%, list=23%, signal=71%	
HUANG_GATA2_TARGETS_UP	HUANG_GATA2_TARGETS_UP	Details ...	144	0.616497	1.944102	0.0034965035	0.13331369	0.3654	3761	tags=58%, list=22%, signal=74%	
RODWELL_AGING_KIDNEY_UP	RODWELL_AGING_KIDNEY_UP	Details ...	462	0.5819271	1.9430312	0.0037328908	0.12585454	0.3689	2470	tags=45%, list=14%, signal=51%	
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP	FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP	Details ...	86	0.7877436	1.9402092	0.0012494794	0.12293546	0.3786	2164	tags=72%, list=13%, signal=82%	
DEMAGALHAES_AGING_UP	DEMAGALHAES_AGING_UP	Details ...	52	0.6859076	1.9387567	0.002538071	0.117926784	0.3841	2463	tags=58%, list=14%, signal=67%	
LI_INDUCED_T_TO_NATURAL_KILLER_UP	LI_INDUCED_T_TO_NATURAL_KILLER_UP	Details ...	307	0.5252136	1.9382455	0.0016645859	0.111879386	0.386	2958	tags=42%, list=17%, signal=50%	
LENAOUR_DENDRITIC_CELL_MATURATION_DN	LENAOUR_DENDRITIC_CELL_MATURATION_DN	Details ...	124	0.63806236	1.9299767	0.0039966344	0.12008476	0.414	2501	tags=48%, list=14%, signal=56%	
WP_REGULATION_OF_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY	WP_REGULATION_OF_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	124	0.53392005	1.9283127	0.002528445	0.116774395	0.4198	3454	tags=44%, list=20%, signal=54%	
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	Details ...	438	0.55039996	1.924512	0.0054484494	0.11748607	0.4326	3233	tags=47%, list=19%, signal=57%	
JISON_SICKLE_CELL_DISEASE_UP	JISON_SICKLE_CELL_DISEASE_UP		177	0.59191495	1.9216753	2.0669698E-4	0.11660513	0.443	3622	tags=56%, list=21%, signal=71%	
RUTELLA_RESPONSE_TO_HGF_UP	RUTELLA_RESPONSE_TO_HGF_UP		415	0.53456306	1.9199157	8.463817E-4	0.11432717	0.4479	4221	tags=51%, list=24%, signal=65%	
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	HOSHIDA_LIVER_CANCER_SUBCLASS_S1		230	0.6019904	1.9195027	0.0068592806	0.10998469	0.4493	3796	tags=56%, list=22%, signal=70%	
VERHAAK_AML_WITH_NPM1_MUTATED_UP	VERHAAK_AML_WITH_NPM1_MUTATED_UP		172	0.57481754	1.9148988	0.0058442913	0.113171704	0.4682	2719	tags=43%, list=16%, signal=51%	
WEST_ADRENOCORTICAL_CARCINOMA_VS_ADENOMA_DN	WEST_ADRENOCORTICAL_CARCINOMA_VS_ADENOMA_DN		23	0.6750622	1.9147475	0.0018891688	0.10893295	0.4688	1947	tags=48%, list=11%, signal=54%	
BIOCARTA_CCR5_PATHWAY	BIOCARTA_CCR5_PATHWAY		17	0.7423007	1.911078	0.0012170385	0.110496245	0.4798	2393	tags=59%, list=14%, signal=68%	
MCLACHLAN_DENTAL_CARIES_UP	MCLACHLAN_DENTAL_CARIES_UP		232	0.6844261	1.9100589	0.005272037	0.10793569	0.4839	2772	tags=61%, list=16%, signal=71%	
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP	ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP		138	0.6861285	1.9087355	0.0045122476	0.10604129	0.4881	3210	tags=68%, list=19%, signal=83%	
WALLACE_PROSTATE_CANCER_RACE_UP	WALLACE_PROSTATE_CANCER_RACE_UP		275	0.65629715	1.9069036	0.009334163	0.10526034	0.4938	3093	tags=59%, list=18%, signal=71%	
VANLOO_SP3_TARGETS_DN	VANLOO_SP3_TARGETS_DN		83	0.48476568	1.9051547	4.2890842E-4	0.10455632	0.501	1960	tags=34%, list=11%, signal=38%	
MULLIGHAN_MLL_SIGNATURE_1_UP	MULLIGHAN_MLL_SIGNATURE_1_UP		377	0.5384194	1.9022167	0.004841086	0.10565129	0.5117	3380	tags=46%, list=20%, signal=55%	
HOFFMANN_IMMATURE_TO_MATURE_B_LYMPHOCYTE_UP	HOFFMANN_IMMATURE_TO_MATURE_B_LYMPHOCYTE_UP		39	0.5899865	1.9003952	0.0012547051	0.10520894	0.5193	3209	tags=54%, list=19%, signal=66%	
YAGI_AML_RELAPSE_PROGNOSIS	YAGI_AML_RELAPSE_PROGNOSIS		34	0.6085087	1.9001886	0.0023474179	0.102324866	0.5201	2147	tags=47%, list=12%, signal=54%	
NUTT_GBM_VS_AO_GLIOMA_UP	NUTT_GBM_VS_AO_GLIOMA_UP		44	0.673344	1.8955154	0.0024932474	0.10633807	0.5376	3608	tags=61%, list=21%, signal=77%	
REACTOME_RAS_PROCESSING	REACTOME_RAS_PROCESSING		24	0.7066555	1.8943233	6.103764E-4	0.10509676	0.543	2317	tags=54%, list=13%, signal=62%	
PID_IL2_1PATHWAY	PID_IL2_1PATHWAY		54	0.5694775	1.8914276	0.0016467682	0.106672056	0.5537	3355	tags=43%, list=19%, signal=53%	
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP	BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP		197	0.5815986	1.8906968	0.002736266	0.105003476	0.5572	3305	tags=52%, list=19%, signal=63%	
WP_SPINAL_CORD_INJURY	WP_SPINAL_CORD_INJURY		110	0.5081809	1.8822458	6.404782E-4	0.115334414	0.5885	2448	tags=33%, list=14%, signal=38%	
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION		68	0.68299836	1.8778938	0.0068621333	0.11954175	0.6049	2056	tags=53%, list=12%, signal=60%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION		59	0.5792341	1.8744957	0.00625	0.12218908	0.6186	3531	tags=58%, list=20%, signal=72%	
