NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_OLFACTORY_SIGNALING_PATHWAY	REACTOME_OLFACTORY_SIGNALING_PATHWAY	Details ...	130	-0.61893535	-1.7632656	0.013239875	1.0	0.9138	3368	tags=62%, list=19%, signal=77%	
KEGG_OLFACTORY_TRANSDUCTION	KEGG_OLFACTORY_TRANSDUCTION	Details ...	141	-0.5900892	-1.7538791	0.015204678	1.0	0.928	3368	tags=56%, list=19%, signal=69%	
REACTOME_SENSORY_PERCEPTION	REACTOME_SENSORY_PERCEPTION	Details ...	275	-0.4714975	-1.7439938	0.006218422	1.0	0.9393	3864	tags=49%, list=22%, signal=62%	
ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	Details ...	38	-0.5161348	-1.7038149	0.0047339518	1.0	0.9768	2375	tags=29%, list=14%, signal=33%	
REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES	REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES	Details ...	19	-0.57005346	-1.6687428	0.005810575	1.0	0.9921	4163	tags=53%, list=24%, signal=69%	
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	17	-0.60713726	-1.6116189	0.024870673	1.0	0.9997	4005	tags=59%, list=23%, signal=76%	
WEBER_METHYLATED_HCP_IN_SPERM_UP	WEBER_METHYLATED_HCP_IN_SPERM_UP	Details ...	15	-0.59397423	-1.6051594	0.021594685	1.0	0.9998	2367	tags=33%, list=14%, signal=39%	
REACTOME_RORA_ACTIVATES_GENE_EXPRESSION	REACTOME_RORA_ACTIVATES_GENE_EXPRESSION	Details ...	18	-0.5047987	-1.6027002	0.007571345	1.0	0.9998	4007	tags=44%, list=23%, signal=58%	
CADWELL_ATG16L1_TARGETS_DN	CADWELL_ATG16L1_TARGETS_DN	Details ...	61	-0.40600303	-1.5862458	0.013197026	1.0	0.9999	4832	tags=46%, list=28%, signal=63%	
WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	Details ...	96	-0.4394918	-1.5680156	0.05364212	1.0	0.9999	4297	tags=45%, list=25%, signal=59%	
