NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	194	0.54069453	1.8791586	0.0040685227	0.068569176	0.036	3469	tags=44%, list=20%, signal=55%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	197	0.6668818	1.8474435	0.0127440905	0.053118173	0.0533	3389	tags=63%, list=20%, signal=78%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	187	0.654219	1.7984712	0.024188546	0.06298695	0.0875	2635	tags=58%, list=15%, signal=67%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	158	0.47411546	1.7730417	0.0029517184	0.06206653	0.1093	3867	tags=42%, list=22%, signal=53%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	49	0.5301942	1.7267874	0.011708133	0.080071636	0.1585	1845	tags=33%, list=11%, signal=36%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	82	0.57155657	1.6919597	0.033126295	0.091893226	0.1989	1785	tags=38%, list=10%, signal=42%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	0.61861795	1.6735846	0.028530378	0.09380378	0.2248	4103	tags=64%, list=24%, signal=82%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	96	0.64600754	1.66448	0.05804858	0.08904522	0.2394	3685	tags=64%, list=21%, signal=80%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	122	0.46030614	1.6584724	0.017806731	0.08333248	0.2482	4862	tags=48%, list=28%, signal=66%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	194	0.39187396	1.6468625	0.006309835	0.08255323	0.2637	3635	tags=35%, list=21%, signal=44%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	183	0.35961115	1.6417389	0.004265302	0.0783267	0.2704	2666	tags=26%, list=15%, signal=31%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	196	0.41413137	1.6358932	0.015671963	0.075166	0.2774	4553	tags=42%, list=26%, signal=57%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	103	0.43770245	1.6300752	0.013141427	0.07244634	0.2867	3607	tags=39%, list=21%, signal=49%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	197	0.46044412	1.6214625	0.040641934	0.07197928	0.2978	4176	tags=43%, list=24%, signal=56%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	194	0.4729378	1.6120838	0.056203164	0.07174111	0.3092	3750	tags=43%, list=22%, signal=55%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	151	0.44078782	1.5281061	0.06929879	0.11957179	0.4317	5446	tags=60%, list=31%, signal=86%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	196	0.44231355	1.4756093	0.0872056	0.15397267	0.5078	4094	tags=44%, list=24%, signal=57%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	95	0.45633426	1.4732606	0.08732912	0.14742917	0.5126	4846	tags=47%, list=28%, signal=65%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	193	0.37407422	1.4163603	0.09404586	0.18870592	0.5962	2684	tags=24%, list=16%, signal=29%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	151	0.38666368	1.3883786	0.11293067	0.20513247	0.6343	3992	tags=36%, list=23%, signal=47%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		189	0.35160592	1.3643148	0.10778443	0.21786365	0.6651	4860	tags=42%, list=28%, signal=58%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		197	0.45492384	1.3573849	0.20368072	0.21456185	0.6742	5449	tags=53%, list=31%, signal=77%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		184	0.3032191	1.2961426	0.11810852	0.26629943	0.7512	3950	tags=32%, list=23%, signal=40%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		109	0.41819653	1.2888944	0.23749222	0.26287138	0.7601	4914	tags=49%, list=28%, signal=67%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		196	0.523994	1.2859763	0.2878221	0.2554863	0.7645	5180	tags=63%, list=30%, signal=89%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		149	0.3814302	1.2667186	0.23205237	0.2653244	0.7858	4338	tags=42%, list=25%, signal=55%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		101	0.32514724	1.1881016	0.23507385	0.34040946	0.8646	4922	tags=45%, list=28%, signal=62%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		34	0.3701703	1.1645215	0.29194078	0.35559928	0.8849	3839	tags=44%, list=22%, signal=57%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		73	0.32719946	1.0967875	0.3637323	0.42525774	0.9285	3899	tags=33%, list=23%, signal=42%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		99	0.28308275	1.0684109	0.3624609	0.4478792	0.9423	5319	tags=39%, list=31%, signal=57%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		192	0.25277656	0.97761893	0.47891822	0.56033367	0.9777	5135	tags=38%, list=30%, signal=53%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		53	0.28718746	0.9571577	0.506734	0.57316494	0.9827	4430	tags=36%, list=26%, signal=48%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		198	0.27938882	0.8924779	0.54802954	0.6526196	0.9923	5273	tags=40%, list=30%, signal=57%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		198	0.31729177	0.86483794	0.58782536	0.67591727	0.995	5801	tags=47%, list=34%, signal=71%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		197	0.1880002	0.768685	0.8014614	0.8089103	0.9991	2294	tags=15%, list=13%, signal=17%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		195	0.2546565	0.7490427	0.6715313	0.8163573	0.9996	5865	tags=47%, list=34%, signal=70%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		58	0.27152863	0.7206899	0.7209108	0.8343871	0.9998	5951	tags=45%, list=34%, signal=68%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		193	0.21578912	0.7055718	0.78712136	0.8323298	0.9998	5240	tags=34%, list=30%, signal=49%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		103	0.17162496	0.69961727	0.94567746	0.81833214	0.9998	2244	tags=17%, list=13%, signal=19%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		32	0.20970762	0.66516304	0.8593038	0.83801746	0.9998	3035	tags=22%, list=18%, signal=26%	
