NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	Details ...	25	-0.7720785	-2.0621297	3.9753527E-4	0.20961563	0.1134	1191	tags=52%, list=7%, signal=56%	
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING	REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING	Details ...	32	-0.7684552	-2.037895	0.0	0.16367285	0.1574	1954	tags=59%, list=11%, signal=67%	
WP_CORI_CYCLE	WP_CORI_CYCLE	Details ...	15	-0.8824306	-1.9813709	1.9904459E-4	0.2852786	0.3089	677	tags=73%, list=4%, signal=76%	
WP_NAD_METABOLISM_IN_ONCOGENEINDUCED_SENESCENCE_AND_MITOCHONDRIAL_DYSFUNCTIONASSOCIATED_SENESCENCE	WP_NAD_METABOLISM_IN_ONCOGENEINDUCED_SENESCENCE_AND_MITOCHONDRIAL_DYSFUNCTIONASSOCIATED_SENESCENCE	Details ...	23	-0.61948913	-1.9361451	0.0015923567	0.43245775	0.4721	2298	tags=43%, list=13%, signal=50%	
LANDIS_ERBB2_BREAST_TUMORS_324_UP	LANDIS_ERBB2_BREAST_TUMORS_324_UP	Details ...	149	-0.5516118	-1.9355567	1.9805902E-4	0.34878772	0.4737	3765	tags=54%, list=21%, signal=68%	
WP_GLYCOLYSIS_AND_GLUCONEOGENESIS	WP_GLYCOLYSIS_AND_GLUCONEOGENESIS	Details ...	42	-0.6348362	-1.9336145	0.0010004002	0.29924813	0.4814	2848	tags=57%, list=16%, signal=68%	
WINTER_HYPOXIA_UP	WINTER_HYPOXIA_UP	Details ...	93	-0.6702672	-1.9271715	0.0	0.2826694	0.5064	3772	tags=69%, list=21%, signal=87%	
BUFFA_HYPOXIA_METAGENE	BUFFA_HYPOXIA_METAGENE	Details ...	50	-0.7976054	-1.9151324	0.0	0.29416767	0.5524	1786	tags=74%, list=10%, signal=82%	
MOOTHA_PGC	MOOTHA_PGC	Details ...	413	-0.546623	-1.8894022	7.9633686E-4	0.37585503	0.6497	3633	tags=50%, list=20%, signal=61%	
WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP	WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP	Details ...	265	-0.57032645	-1.8826045	5.9713377E-4	0.37072632	0.6701	4339	tags=62%, list=24%, signal=80%	
