NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	190	0.42429435	1.1889176	0.3374453	1.0	0.8793	4595	tags=49%, list=26%, signal=65%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	196	0.29420224	1.1170521	0.32290837	1.0	0.9349	5151	tags=41%, list=29%, signal=57%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	30	0.32501072	1.070328	0.34548303	1.0	0.9565	2943	tags=33%, list=16%, signal=40%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	84	0.35170642	1.0563515	0.40737802	1.0	0.9627	4146	tags=35%, list=23%, signal=45%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	195	0.29103386	1.0253546	0.42493537	1.0	0.9734	3765	tags=33%, list=21%, signal=42%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	197	0.25436038	1.0077565	0.43045446	1.0	0.9778	4407	tags=35%, list=25%, signal=45%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	198	0.28667098	0.98685956	0.4573074	0.97986996	0.9827	5236	tags=42%, list=29%, signal=59%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	0.29726908	0.9795494	0.4766111	0.87421834	0.9841	5409	tags=45%, list=30%, signal=65%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	181	0.22329313	0.9610412	0.53311986	0.81641495	0.9871	5676	tags=38%, list=32%, signal=55%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	128	0.25248402	0.9376842	0.51781094	0.7809314	0.9907	3950	tags=34%, list=22%, signal=43%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	142	0.23313712	0.930626	0.53756654	0.7227595	0.9918	2234	tags=18%, list=13%, signal=21%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	193	0.2455133	0.9193968	0.5410448	0.6819034	0.9931	3143	tags=24%, list=18%, signal=29%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	200	0.20573017	0.87978464	0.63743037	0.6945086	0.9966	5505	tags=40%, list=31%, signal=56%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	198	0.2428352	0.66902006	0.7420643	0.96077913	0.9998	4785	tags=32%, list=27%, signal=43%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	198	0.20023392	0.6057089	0.80939114	0.96047264	0.9999	4624	tags=31%, list=26%, signal=41%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	96	0.14391276	0.36571497	0.94742066	0.99370867	1.0	6362	tags=32%, list=36%, signal=50%	
