gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,Positive_expression_mean_tpm,Negative_expression_mean_tpm
ENSG00000001617,852.3189362948845,1.1594637169490085,0.28113315365841174,4.124251095471309,3.7194296419944197e-5,0.0016811631729659175,SEMA3F,7.8021197,3.7181982083333334
ENSG00000003402,6372.053032428662,-0.40225146501350706,0.10690144969317336,-3.7628251643737487,1.6800465669346572e-4,0.004758343625241291,CFLAR,28.92661705,44.42964654166667
ENSG00000003436,1131.7193254296128,-0.7047424547500154,0.18748842702372606,-3.7588584316237954,1.7069037924899834e-4,0.004803520816031127,TFPI,4.792356799999999,8.640380291666666
ENSG00000003989,905.821856263574,1.7744100648500667,0.49208530954610685,3.6058992829653045,3.1107377889333225e-4,0.00718641424102204,SLC7A2,5.8540822,1.6146257916666666
ENSG00000004478,2373.343323098452,1.168702808265203,0.2158079152237807,5.415477032217858,6.112551846418884e-8,1.2416911354225395e-5,FKBP4,29.6968608,11.17314275
ENSG00000004864,358.8809826421605,-0.4831682800105484,0.14707102208209677,-3.2852717902568065,0.0010188403954864843,0.016687642548130342,SLC25A13,4.5880515,7.287943333333334
ENSG00000005020,522.7351932310031,-0.5226678947404568,0.14224596002350862,-3.6743953547368013,2.3841333022877164e-4,0.006103173924081431,SKAP2,4.608725,7.192381833333333
ENSG00000005448,214.81418109085834,0.4914152082252239,0.14066705400497045,3.4934634246897627,4.767982930206561e-4,0.009674461805458157,WDR54,3.3156701,2.524818625
ENSG00000005810,3144.2837464200848,-0.5256788445233994,0.12113276898688705,-4.339691471762737,1.426828990311571e-5,8.240636845024966e-4,MYCBP2,11.83932355,18.99708275
ENSG00000006210,687.3624205086152,-1.326998846764153,0.348581062545816,-3.8068586889734948,1.4074310975486598e-4,0.004166420399828721,CX3CL1,1.1160123,3.0739982083333333
ENSG00000006459,873.3903136960108,-0.4991355545133043,0.15968190490609055,-3.1258116240963405,0.0017731509400517695,0.02423580554024356,KDM7A,2.5477765,3.9031699166666667
ENSG00000006652,500.980000647458,-0.5037433277145446,0.1463829772298164,-3.441269861069189,5.78990768355436e-4,0.011074138364876213,IFRD1,7.9722808999999994,11.845511333333334
ENSG00000006712,471.9419028111259,0.3579435347180009,0.11446768381721234,3.1270269719930983,0.0017658372640282692,0.02417879114700156,PAF1,5.4699335,4.171471375
ENSG00000006831,971.6234547067247,0.7662599363512924,0.15392113790347342,4.978263198858542,6.415737404778427e-7,8.230626004058116e-5,ADIPOR2,8.11523935,5.229018375
ENSG00000007062,1023.3076805476604,-1.6824577019906923,0.5833482913296946,-2.884139247507982,0.003924851621353682,0.04042614184343369,PROM1,3.6966793,16.118123333333333
ENSG00000007216,24.151245318076064,2.2161675225364945,0.7269147007916477,3.04873119242598,0.0022981000999656,0.028763684891424963,SLC13A2,0.21388995,0.11146833333333334
