ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0042573,retinoic acid metabolic process,2/20,33/17105,6.710479435849038e-4,0.15897109695824196,0.1209947316548693,ENSG00000187758/ENSG00000243135,2
GO:0003018,vascular process in circulatory system,3/20,184/17105,0.0012199638357999153,0.15897109695824196,0.1209947316548693,ENSG00000174697/ENSG00000178394/ENSG00000198535,3
GO:0031667,response to nutrient levels,4/20,470/17105,0.001921666120910298,0.15897109695824196,0.1209947316548693,ENSG00000081803/ENSG00000134333/ENSG00000174697/ENSG00000181061,4
GO:0031669,cellular response to nutrient levels,3/20,218/17105,0.001983233688876648,0.15897109695824196,0.1209947316548693,ENSG00000081803/ENSG00000174697/ENSG00000181061,3
GO:0042445,hormone metabolic process,3/20,221/17105,0.0020620171026850486,0.15897109695824196,0.1209947316548693,ENSG00000174697/ENSG00000187758/ENSG00000243135,3
GO:0031668,cellular response to extracellular stimulus,3/20,250/17105,0.002925779564494874,0.15897109695824196,0.1209947316548693,ENSG00000081803/ENSG00000174697/ENSG00000181061,3
GO:0042310,vasoconstriction,2/20,77/17105,0.003605896494510681,0.15897109695824196,0.1209947316548693,ENSG00000174697/ENSG00000178394,2
GO:0003300,cardiac muscle hypertrophy,2/20,80/17105,0.0038861063021184117,0.15897109695824196,0.1209947316548693,ENSG00000116285/ENSG00000174697,2
GO:0021954,central nervous system neuron development,2/20,82/17105,0.0040783921178841,0.15897109695824196,0.1209947316548693,ENSG00000174697/ENSG00000188613,2
GO:0014897,striated muscle hypertrophy,2/20,83/17105,0.00417617152749518,0.15897109695824196,0.1209947316548693,ENSG00000116285/ENSG00000174697,2
GO:0097756,negative regulation of blood vessel diameter,2/20,83/17105,0.00417617152749518,0.15897109695824196,0.1209947316548693,ENSG00000174697/ENSG00000178394,2
GO:0006112,energy reserve metabolic process,2/20,85/17105,0.004374991251270297,0.15897109695824196,0.1209947316548693,ENSG00000135447/ENSG00000174697,2
GO:0014896,muscle hypertrophy,2/20,85/17105,0.004374991251270297,0.15897109695824196,0.1209947316548693,ENSG00000116285/ENSG00000174697,2
GO:0002792,negative regulation of peptide secretion,2/20,87/17105,0.0045781427588484315,0.15897109695824196,0.1209947316548693,ENSG00000001630/ENSG00000174697,2
GO:0050810,regulation of steroid biosynthetic process,2/20,91/17105,0.004997364162776533,0.15897109695824196,0.1209947316548693,ENSG00000001630/ENSG00000174697,2
GO:0071496,cellular response to external stimulus,3/20,323/17105,0.0059924479963749545,0.15897109695824196,0.1209947316548693,ENSG00000081803/ENSG00000174697/ENSG00000181061,3
GO:0001523,retinoid metabolic process,2/20,108/17105,0.0069679559924824405,0.15897109695824196,0.1209947316548693,ENSG00000187758/ENSG00000243135,2
GO:0001666,response to hypoxia,3/20,346/17105,0.007245337374628056,0.15897109695824196,0.1209947316548693,ENSG00000134333/ENSG00000174697/ENSG00000181061,3
GO:0016101,diterpenoid metabolic process,2/20,114/17105,0.007735016375303976,0.15897109695824196,0.1209947316548693,ENSG00000187758/ENSG00000243135,2
GO:0036293,response to decreased oxygen levels,3/20,358/17105,0.007956594186067551,0.15897109695824196,0.1209947316548693,ENSG00000134333/ENSG00000174697/ENSG00000181061,3
GO:0019218,regulation of steroid metabolic process,2/20,122/17105,0.008814493879282256,0.15897109695824196,0.1209947316548693,ENSG00000001630/ENSG00000174697,2
GO:0006721,terpenoid metabolic process,2/20,124/17105,0.009094371248492045,0.15897109695824196,0.1209947316548693,ENSG00000187758/ENSG00000243135,2
GO:0006066,alcohol metabolic process,3/20,377/17105,0.00916527504944939,0.15897109695824196,0.1209947316548693,ENSG00000001630/ENSG00000174697/ENSG00000187758,3
GO:0070482,response to oxygen levels,3/20,383/17105,0.009568263577687258,0.15897109695824196,0.1209947316548693,ENSG00000134333/ENSG00000174697/ENSG00000181061,3
GO:0034754,cellular hormone metabolic process,2/20,134/17105,0.010552897017073164,0.15897109695824196,0.1209947316548693,ENSG00000187758/ENSG00000243135,2
GO:0035296,regulation of tube diameter,2/20,138/17105,0.011163569237214104,0.15897109695824196,0.1209947316548693,ENSG00000174697/ENSG00000178394,2
GO:0097746,regulation of blood vessel diameter,2/20,138/17105,0.011163569237214104,0.15897109695824196,0.1209947316548693,ENSG00000174697/ENSG00000178394,2
GO:0035150,regulation of tube size,2/20,139/17105,0.011318643429543347,0.15897109695824196,0.1209947316548693,ENSG00000174697/ENSG00000178394,2
GO:0014745,negative regulation of muscle adaptation,1/20,10/17105,0.011634202563971296,0.15897109695824196,0.1209947316548693,ENSG00000116285,1
GO:0032817,regulation of natural killer cell proliferation,1/20,10/17105,0.011634202563971296,0.15897109695824196,0.1209947316548693,ENSG00000174697,1
GO:0032966,negative regulation of collagen biosynthetic process,1/20,10/17105,0.011634202563971296,0.15897109695824196,0.1209947316548693,ENSG00000116285,1
GO:0042428,serotonin metabolic process,1/20,10/17105,0.011634202563971296,0.15897109695824196,0.1209947316548693,ENSG00000178394,1
GO:0070091,glucagon secretion,1/20,10/17105,0.011634202563971296,0.15897109695824196,0.1209947316548693,ENSG00000174697,1
GO:0070092,regulation of glucagon secretion,1/20,10/17105,0.011634202563971296,0.15897109695824196,0.1209947316548693,ENSG00000174697,1
GO:0007292,female gamete generation,2/20,142/17105,0.011789605192667809,0.15897109695824196,0.1209947316548693,ENSG00000174697/ENSG00000188613,2
GO:0006720,isoprenoid metabolic process,2/20,144/17105,0.012108340227619977,0.15897109695824196,0.1209947316548693,ENSG00000187758/ENSG00000243135,2
GO:0008203,cholesterol metabolic process,2/20,147/17105,0.012593539465267808,0.15897109695824196,0.1209947316548693,ENSG00000001630/ENSG00000174697,2
GO:0001787,natural killer cell proliferation,1/20,11/17105,0.012790524058485686,0.15897109695824196,0.1209947316548693,ENSG00000174697,1
GO:0001820,serotonin secretion,1/20,11/17105,0.012790524058485686,0.15897109695824196,0.1209947316548693,ENSG00000178394,1
GO:0010713,negative regulation of collagen metabolic process,1/20,11/17105,0.012790524058485686,0.15897109695824196,0.1209947316548693,ENSG00000116285,1
GO:0032276,regulation of gonadotropin secretion,1/20,11/17105,0.012790524058485686,0.15897109695824196,0.1209947316548693,ENSG00000174697,1
GO:0033197,response to vitamin E,1/20,11/17105,0.012790524058485686,0.15897109695824196,0.1209947316548693,ENSG00000174697,1
GO:0033210,leptin-mediated signaling pathway,1/20,11/17105,0.012790524058485686,0.15897109695824196,0.1209947316548693,ENSG00000174697,1
GO:0035630,bone mineralization involved in bone maturation,1/20,11/17105,0.012790524058485686,0.15897109695824196,0.1209947316548693,ENSG00000174697,1
GO:0043589,skin morphogenesis,1/20,11/17105,0.012790524058485686,0.15897109695824196,0.1209947316548693,ENSG00000116285,1
GO:0052697,xenobiotic glucuronidation,1/20,11/17105,0.012790524058485686,0.15897109695824196,0.1209947316548693,ENSG00000243135,1
GO:1904478,regulation of intestinal absorption,1/20,11/17105,0.012790524058485686,0.15897109695824196,0.1209947316548693,ENSG00000174697,1
GO:1903531,negative regulation of secretion by cell,2/20,151/17105,0.013253626738340933,0.15897109695824196,0.1209947316548693,ENSG00000001630/ENSG00000174697,2
GO:0003012,muscle system process,3/20,435/17105,0.013499343567479262,0.15897109695824196,0.1209947316548693,ENSG00000116285/ENSG00000118680/ENSG00000174697,3
GO:0006069,ethanol oxidation,1/20,12/17105,0.013945560300373527,0.15897109695824196,0.1209947316548693,ENSG00000187758,1
GO:0008343,adult feeding behavior,1/20,12/17105,0.013945560300373527,0.15897109695824196,0.1209947316548693,ENSG00000174697,1
GO:0046325,negative regulation of glucose import,1/20,12/17105,0.013945560300373527,0.15897109695824196,0.1209947316548693,ENSG00000174697,1
GO:0072537,fibroblast activation,1/20,12/17105,0.013945560300373527,0.15897109695824196,0.1209947316548693,ENSG00000174697,1
GO:0046165,alcohol biosynthetic process,2/20,156/17105,0.014099681242552094,0.15897109695824196,0.1209947316548693,ENSG00000001630/ENSG00000174697,2
GO:1902652,secondary alcohol metabolic process,2/20,156/17105,0.014099681242552094,0.15897109695824196,0.1209947316548693,ENSG00000001630/ENSG00000174697,2
GO:0031953,negative regulation of protein autophosphorylation,1/20,13/17105,0.015099312643086837,0.15897109695824196,0.1209947316548693,ENSG00000116285,1
GO:0032096,negative regulation of response to food,1/20,13/17105,0.015099312643086837,0.15897109695824196,0.1209947316548693,ENSG00000174697,1
GO:0032099,negative regulation of appetite,1/20,13/17105,0.015099312643086837,0.15897109695824196,0.1209947316548693,ENSG00000174697,1
