ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0031012,extracellular matrix,36/351,400/13443,8.425503441919576e-11,2.6708845910885058e-8,2.31479620878001e-8,FBLN1/COL5A3/COL16A1/MMP2/MMP9/PTN/PCOLCE/RARRES2/CXCL12/COL1A1/MMP19/LRRC17/APOE/EMILIN2/CHI3L1/ANGPTL2/ADAMTS14/COL6A1/COL6A2/HMCN1/FLG/ABI3BP/SPON2/CTSS/COL6A3/FBLN2/CTSB/HTRA1/MFAP4/COL3A1/COL24A1/PHOSPHO1/PODN/CD248/FLRT2/COL14A1,36
GO:0062023,collagen-containing extracellular matrix,28/351,316/13443,1.643850410206657e-8,2.6055029001775515e-6,2.258131352968092e-6,FBLN1/COL5A3/COL16A1/MMP2/MMP9/PTN/PCOLCE/RARRES2/CXCL12/COL1A1/APOE/EMILIN2/ANGPTL2/COL6A1/COL6A2/HMCN1/FLG/ABI3BP/CTSS/COL6A3/FBLN2/CTSB/HTRA1/MFAP4/COL3A1/COL24A1/PODN/COL14A1,28
GO:0005581,collagen trimer,12/351,61/13443,4.588472509240302e-8,4.8484859514305864e-6,4.202074824251645e-6,MSR1/COL5A3/COL16A1/COL1A1/EMILIN2/C1QTNF6/COL6A1/COL6A2/COL6A3/COL3A1/COL24A1/COL14A1,12
GO:0043202,lysosomal lumen,10/351,82/13443,5.216921755133951e-5,0.00383612953451461,0.00332468805747406,LGMN/MAN2B1/PLD3/LIPA/PDGFRB/CTSK/CTSS/CTSB/TPP1/TCN2,10
GO:0009897,external side of plasma membrane,18/351,244/13443,7.439448295618164e-5,0.00383612953451461,0.00332468805747406,MSR1/TNFRSF9/P2RX7/FCGRT/LILRB1/CD33/CXCL12/P2RX1/KCNJ5/TLR4/CTSK/TNFRSF14/ITGB2/CTSB/ABCA1/PRND/CD248/CD163,18
GO:0005583,fibrillar collagen trimer,4/351,10/13443,8.470948498928161e-5,0.00383612953451461,0.00332468805747406,COL5A3/COL16A1/COL1A1/COL3A1,4
GO:0098643,banded collagen fibril,4/351,10/13443,8.470948498928161e-5,0.00383612953451461,0.00332468805747406,COL5A3/COL16A1/COL1A1/COL3A1,4
GO:0035579,specific granule membrane,9/351,77/13443,1.718547754304049e-4,0.006809745476429794,0.005901854787807326,ITGAL/ALDH3B1/TNFRSF1B/KCNAB2/STK10/CD33/P2RX1/ITGB2/LAIR1,9
GO:0034358,plasma lipoprotein particle,5/351,22/13443,2.153170345065215e-4,0.0068255499938567315,0.00591555221117917,MSR1/PLTP/APOE/APOC1/APOC2,5
GO:1990777,lipoprotein particle,5/351,22/13443,2.153170345065215e-4,0.0068255499938567315,0.00591555221117917,MSR1/PLTP/APOE/APOC1/APOC2,5
