ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0030198,extracellular matrix organization,30/331,319/12931,7.321522025408557e-10,1.3801069017895131e-6,1.1456255253441917e-6,ITGAL/TNFRSF1B/FBLN1/COL5A3/COL16A1/MMP2/MMP9/COL1A1/LOXL3/MMP19/LRP1/ADAMTS14/ITGAX/COL6A1/COL6A2/CTSK/ADAM12/ABI3BP/ITGB2/CTSS/COL6A3/FBLN2/HTRA1/MFAP4/COL3A1/COL24A1/GAS6/FLRT2/COL14A1/DPP4,30
GO:0043062,extracellular structure organization,30/331,319/12931,7.321522025408557e-10,1.3801069017895131e-6,1.1456255253441917e-6,ITGAL/TNFRSF1B/FBLN1/COL5A3/COL16A1/MMP2/MMP9/COL1A1/LOXL3/MMP19/LRP1/ADAMTS14/ITGAX/COL6A1/COL6A2/CTSK/ADAM12/ABI3BP/ITGB2/CTSS/COL6A3/FBLN2/HTRA1/MFAP4/COL3A1/COL24A1/GAS6/FLRT2/COL14A1/DPP4,30
GO:0032963,collagen metabolic process,15/331,83/12931,2.4384757426700097e-9,3.064351183288646e-6,2.5437152220905053e-6,MRC2/TRAM2/MMP2/P2RX7/MMP9/COL1A1/P3H3/PDGFRB/MMP19/ADAMTS14/ARRB2/CTSK/CTSS/CTSB/MFAP4,15
GO:0015850,organic hydroxy compound transport,20/331,165/12931,7.860743210096142e-9,7.4087504755156145e-6,6.149997253583114e-6,GRAMD1B/NR1H3/MSR1/OSBPL3/NCOA1/PLTP/LILRB1/CXCL12/P2RX1/EEPD1/LRP1/APOE/APOC1/SLCO2B1/ABCA1/P2RY1/STARD5/GRK2/PRKN/APOC2,20
GO:0032675,regulation of interleukin-6 production,15/331,103/12931,5.150602688112374e-8,3.88355442683673e-5,3.223735114054334e-5,HGF/P2RX7/TREM2/NCKAP1L/TLR4/ARRB1/ARRB2/SPON2/NLRC3/SOCS5/IL16/GAS6/MBP/AGER/RAB7B,15
GO:0032635,interleukin-6 production,15/331,111/12931,1.4252451453615282e-7,7.845242867444068e-5,6.512329204219242e-5,HGF/P2RX7/TREM2/NCKAP1L/TLR4/ARRB1/ARRB2/SPON2/NLRC3/SOCS5/IL16/GAS6/MBP/AGER/RAB7B,15
GO:0032612,interleukin-1 production,13/331,82/12931,1.456676394485636e-7,7.845242867444068e-5,6.512329204219242e-5,P2RX7/NLRC4/TREM2/ACP5/CD33/TLR4/ARRB2/NLRP3/ABCA1/IL16/GAS6/FFAR4/AGER,13
GO:0032652,regulation of interleukin-1 production,12/331,73/12931,2.9378208629097347e-7,1.3844480816462123e-4,1.1492291349250842e-4,P2RX7/NLRC4/TREM2/ACP5/CD33/TLR4/ARRB2/NLRP3/IL16/GAS6/FFAR4/AGER,12
GO:0070374,positive regulation of ERK1 and ERK2 cascade,16/331,141/12931,6.293210186263692e-7,2.6361558224682354e-4,2.188270629679761e-4,TREM2/PDGFRB/GLIPR2/LRP1/APOE/CHI3L1/GPNMB/TLR4/ARRB1/ARRB2/HAND2/P2RY1/CSF1R/GAS6/FFAR4/AGER,16
GO:0015918,sterol transport,12/331,80/12931,8.198990952510531e-7,2.8375029741749047e-4,2.3554087232226698e-4,GRAMD1B/NR1H3/MSR1/OSBPL3/PLTP/EEPD1/LRP1/APOE/APOC1/ABCA1/STARD5/APOC2,12
